GEOID,State,ssm_hh,total_hh,county_to_urb,urb_ssm_rate,adj_ssm_hh,adj_hh,adj_urb_ssm_rate,per_ssm,msm_index,msm_urb,male_pop,msm_pop
17129,IL,12.722324383964693,12284,3,0.0012836746938390434,28.490984323083502,12299.768659939118,0.0025640579713467324,0.0023163837557270387,0.9034053760143315,0.03430668308799435,4680,145.05
17131,IL,7.951452739977933,15692,3,0.0012836746938390434,28.094876035700203,15712.143423295722,0.0025640579713467324,0.0017880995150569422,0.6973709389720897,0.03430668308799435,6292,150.53
17133,IL,8.261171567492475,34905,2,0.001316614162945478,54.21758892510439,34950.956417357615,0.002629765938810684,0.0015512476476374315,0.5898805002923514,0.03776920561073565,13522,301.26
17135,IL,5.365461847389558,28352,4,8.506617793153081e-4,29.48342461453717,28376.117962767148,0.0016998775377797136,0.001039022485500763,0.6112337285531032,0.02678621884916539,12143,198.81
17137,IL,34.204819277108435,32882,4,8.506617793153081e-4,62.17627990455439,32909.97146062744,0.0016998775377797136,0.0018892839204962646,1.1114235458184494,0.02678621884916539,13340,397.14
17139,IL,6.371485943775101,14531,4,8.506617793153081e-4,18.732452259005843,14543.360966315231,0.0016998775377797136,0.0012880414852105523,0.7577260458967656,0.02678621884916539,5288,107.33
17141,IL,31.522088353413654,51672,4,8.506617793153081e-4,75.47748381419426,51715.95539546078,0.0016998775377797136,0.0014594622343730127,0.8585690450850253,0.02678621884916539,19929,458.32
17143,IL,273.132401618242,181186,3,0.0012836746938390434,505.7162846961629,181418.58388307792,0.0025640579713467324,0.002787566046828427,1.0871696654207472,0.03430668308799435,66367,2475.3
17145,IL,0.6706827309236948,20996,4,8.506617793153081e-4,18.531177449427904,21013.860494718505,0.0016998775377797136,8.818549763421822e-4,0.5187755922076672,0.02678621884916539,9412,130.79
17147,IL,13.915042294961383,16698,3,0.0012836746938390434,35.34984233268573,16719.434800037725,0.0025640579713467324,0.0021142964912071053,0.824589972159094,0.03430668308799435,6428,181.84
17149,IL,9.05421686746988,14776,4,8.506617793153081e-4,21.623595318632873,14788.569378451162,0.0016998775377797136,0.0014621830391613956,0.860169633790925,0.02678621884916539,5668,130.59
17151,IL,0,3799,4,8.506617793153081e-4,3.2316640996188553,3802.2316640996187,0.0016998775377797136,8.499387688898552e-4,0.49999999999999906,0.02678621884916539,1726,23.12
17153,IL,2.0120481927710845,5177,4,8.506617793153081e-4,6.415924224286434,5181.403876031515,0.0016998775377797136,0.0012382598187270532,0.7284406030474406,0.02678621884916539,2072,40.43
17155,IL,0,5628,4,8.506617793153081e-4,4.787524493986554,5632.787524493987,0.0016998775377797136,8.499387688898552e-4,0.49999999999999906,0.02678621884916539,2304,30.86
17157,IL,5.030120481927711,30413,4,8.506617793153081e-4,30.901297176244174,30438.871176694316,0.0016998775377797136,0.0010151919562609772,0.5972147602979477,0.02678621884916539,13230,211.64
17159,IL,4.359437751004016,15716,4,8.506617793153081e-4,17.7284382747234,15729.369000523719,0.0016998775377797136,0.0011270915110538203,0.6630427698491534,0.02678621884916539,6014,106.81
