state,educ,mean,median,q025,q975
NJ,3,0.024708983134146757,0.024495656217892136,0.017714418788816473,0.03292032127156999
NJ,4,0.010690500167118804,0.00933849389191259,0.004069688511229995,0.02523930760906167
NM,1,0.018524538664055953,0.01844073028999422,0.013277401094193217,0.024325602606524867
NM,2,0.01453240921270846,0.013924002164902489,0.006975221735408652,0.025359990603823806
NM,3,0.013892662754609134,0.013649378096100426,0.008552951472840777,0.02059856479361264
NM,4,0.007838730623026832,0.007288877488140039,0.003005386604622274,0.015766163467830135
NV,1,0.10090067344623228,0.09948014138583891,0.06351344319033828,0.1467255946935264
NV,2,0.1018942164640926,0.0956703268600996,0.017691430961512586,0.228263534903618
NV,3,0.08920459136847561,0.08609723567926497,0.04555549317973404,0.15064689450943708
NV,4,0.08709285613134572,0.07656716061234226,0.020076375275413057,0.21331444205659086
NY,1,0.03573055814072851,0.03560246705266175,0.027927585053303,0.044246832454499584
NY,2,0.035038483526878696,0.03444059044303096,0.022365010984627332,0.05122590425051062
NY,3,0.03943260048988742,0.03909870666952209,0.028246026437146653,0.052712193555354274
NY,4,0.013040438513944718,0.012375750388327741,0.006573450232826491,0.023345464515017126
OH,1,0.023956798653032605,0.02389978112729286,0.01940359281370476,0.028843921062453388
OH,2,0.02552324940026449,0.02507195726506351,0.016430504739969005,0.03718034946715837
OH,3,0.02339511272854214,0.023276875114907197,0.018048018053820978,0.029411548232472752
OH,4,0.013669667227028082,0.012867101628530764,0.006707444961136487,0.02518677241013757
OK,1,0.018355114019740208,0.018267612341807356,0.013504598140405789,0.02370685874586095
OK,2,0.01961675441358649,0.018803569802326482,0.010489703628365656,0.033234131355711495
OK,3,0.02415894815373676,0.023938794015535347,0.017220572243478605,0.03233452941687612
OK,4,0.014780543264087493,0.01358614695199594,0.0061584404701885455,0.030081355561572858
OR,1,0.02241913811971271,0.02231782672109493,0.018116528748382786,0.027303981756796682
OR,2,0.016710663827332727,0.016357375526155418,0.01048374977288111,0.0249646599971679
OR,3,0.025115997437024556,0.024868387522710967,0.01844050251142274,0.033247061450810085
OR,4,0.01869524534961532,0.017736133190820118,0.009252131872408831,0.0334909672261492
PA,1,0.02356099807531744,0.02350611491070263,0.019116469044344542,0.02833592543736515
PA,2,0.019698340175215018,0.01939298558744204,0.01300733873229178,0.028119773791465193
PA,3,0.02630386822365084,0.026200320397868612,0.020766132313887808,0.03242601073153659
PA,4,0.01597780513562178,0.01529250761535363,0.008306991137894749,0.027482015653737625
RI,1,0.049018509049520105,0.04834081704657259,0.03429992004486951,0.06778531031959763
RI,2,0.04943409964927466,0.04723033650786575,0.024024239512477587,0.08738282356012472
RI,3,0.09018661095757517,0.08885767067805214,0.060447597276899155,0.12758628923832085
RI,4,0.05000009480354145,0.04607064854991414,0.019458955707925434,0.10322977326914888
SC,1,0.020825573136630582,0.02081574368658618,0.015937548039487427,0.025795972939153117
SC,2,0.01347362086092329,0.012992233200113598,0.0071415994784846445,0.022492815692051905
SC,3,0.019207915734360315,0.018985034446770698,0.012871426522020623,0.026756261041066733
SC,4,0.016207004442784983,0.015255094540243925,0.007026396066243712,0.030833844997730914
SD,1,0.012739803197220364,0.01268425849702401,0.00869357584892464,0.01708842420782446
SD,2,0.011195276872044467,0.010046368292206027,0.004197934679517626,0.024477929295814025
SD,3,0.010307212670595062,0.01006039897774879,0.00596319033593804,0.01603708868364066
SD,4,0.011202425098040628,0.009496525360003942,0.0033189211117366692,0.028897496063954187
TN,1,0.02113511098248935,0.02104988864639558,0.016808711264941337,0.025909777894949283
TN,2,0.020245076499552084,0.019735336224486758,0.01252339686848903,0.030814631468198312
TN,3,0.02214838873647645,0.022002365744898132,0.016815922909910453,0.02828615770501549
TN,4,0.014832087768126362,0.013974140885430628,0.007207699280875032,0.027255927402444306
TX,1,0.025651647788061706,0.025590379995488986,0.020368766911693915,0.031304354118068055
TX,2,0.025683921911112857,0.025093251053166454,0.015558637887289466,0.03916008472701889
TX,3,0.030667629588379056,0.030477814824730262,0.022563659776619303,0.039937749434897064
TX,4,0.011846517210810243,0.01140029786976035,0.0062820530795167934,0.0199126567070381
UT,1,0.023131063732878487,0.02295206653829755,0.017649284166710313,0.02959228681315493
UT,2,0.039779124925780146,0.03889881121783487,0.024222149062071173,0.060368926602402
