race,mean,median,q025,q975,state
1,35281.82138867656,35025.034591525255,24400.872162846477,47580.6636972419,MD
2,14437.50586673266,13816.45441331141,7168.486187529748,25126.344498279195,MD
3,44216.052637445326,44108.61982853588,34315.86941711353,54803.17083596304,MD
1,521.3269377509438,478.7348478779618,209.63565559826424,1081.035017340814,ME
2,2066.1927564383113,1834.797009939969,562.6254191740954,4739.479272524997,ME
3,21780.055139375025,21745.798600579743,17874.676901251885,25902.770866698636,ME
1,26292.029136102108,25975.45681889131,17412.780375912127,37006.780400112424,MI
2,15171.653701110334,14797.77235237885,8660.32205001034,23727.61933233821,MI
3,102330.9143108663,102277.66146438898,89192.9807055289,115808.0091467897,MI
1,12223.60176925942,11820.56127488688,6741.240375779571,19970.117590043654,MN
2,14144.833411181,13821.380510513125,8108.628972904537,22012.85640059604,MN
3,67428.61935838635,67195.1296055715,56181.29209003001,79908.42938834656,MN
1,16339.888090566952,16155.854962009971,10752.045792997893,22946.476567023874,MO
2,9862.66772710046,9529.99504664032,5250.128860349997,16237.64588324992,MO
3,65076.44157411157,65067.60818953437,56030.94588523285,74174.04387646218,MO
1,7433.469434631786,7367.932223338616,5169.2988460279485,10072.252902514967,MS
2,3552.8714807573742,3244.192108213252,1017.9295605841249,7608.470488455171,MS
3,17460.32995470855,17537.53842580753,13162.786733686033,21371.873984025206,MS
1,81.78874019046664,74.72568893814017,32.80656418603375,171.57632361341453,MT
2,1978.63670927198,1896.9012416266555,696.8846365401558,3687.849298191623,MT
3,9568.690724716716,9564.463703437332,7564.5732837703445,11599.97436631422,MT
1,33279.37781088068,32959.10366165558,22591.4140709644,45902.90602920431,NC
2,22186.795488753076,21790.14720681417,12507.450777437829,34083.33653876204,NC
3,93976.858635079,93996.84029831078,78938.53375496852,108924.38637940507,NC
1,443.2561869319833,404.74180160412124,170.5282192193171,936.6837715925794,ND
2,1059.3479058159364,1004.7958420189732,398.62823046883295,2014.9954990901429,ND
3,8300.682111206643,8202.36803025944,6381.012910874204,10796.010549691764,ND
1,1385.930281126623,1288.8726177820745,567.3076579780072,2761.040529615679,NE
2,3182.621022377036,3068.25967201013,1199.0433098867168,5828.523513572106,NE
3,17202.77960354501,17173.840467421636,13671.89558626127,20913.831108319802,NE
1,385.16842390886234,363.4692451349482,196.583245442131,701.5956017359371,NH
2,2405.8752069364573,2209.9473928210027,904.3588571197483,4890.078404197019,NH
3,18785.89897782349,18726.087633058683,14959.123857861132,22975.544579302823,NH
1,26820.70227219272,26435.794211636377,17488.366702108597,38404.83767876482,NJ
2,33527.41108562941,32851.69320809098,20367.902531919666,50471.8574892568,NJ
3,82070.03278858097,82171.7568264028,66231.97518402226,97309.62974042323,NJ
1,909.9534508471647,832.1632025993611,350.65202240736005,1909.5863310416046,NM
2,9918.746147158205,9567.82494117102,5112.018205006398,16552.51358064936,NM
3,20647.687061269156,20696.823301033346,13964.433882598274,27037.89710041917,NM
1,10644.752101361286,10144.229768733778,4935.891689792257,19201.49315736235,NV
2,19334.37107774778,18780.2437322716,10582.303990054721,31210.600696526122,NV
3,36643.54614819794,36188.59800065086,25773.027652482546,50040.07853484201,NV
1,97941.34771824394,96228.79231134977,57147.528921150486,148398.68891953985,NY
2,101415.52226502092,99669.94481700496,60937.69414309654,151936.14826739332,NY
3,236743.0149330413,235901.29132452994,193500.35488551104,284526.2164936383,NY
1,34982.8236822446,34495.614753465314,21790.244093471934,50928.072813543295,OH
2,16525.26648858233,16003.8340582868,9216.342060721434,26639.87765098868,OH
3,132454.44683645698,132356.08667542977,115100.21942909464,150502.22855812847,OH
1,7124.886796629599,6870.913424066177,3843.6621059994372,11820.793483000067,OK
2,16293.171178076236,16258.663105005002,9525.410065491824,23441.711328070593,OK
3,36388.03101573373,36251.87853732843,28274.970017944186,45258.549925153835,OK
1,3786.8750672756605,3611.737041276217,1994.4132834757363,6594.508124065647,OR
2,16168.570723558616,15931.79301489249,9944.521596204457,23747.563315123112,OR
3,62647.861644631805,62478.719695746324,52588.80546464145,73789.93736931814,OR
1,35138.84123152279,34717.23305482873,22862.19085626025,49776.32073424585,PA
2,22047.13187090361,21549.656202777103,13082.807712052385,33777.77743398849,PA
3,145238.281299175,145090.34957735502,128831.6756118183,162388.89405403504,PA
1,2368.1295720197977,2239.2555107545777,1123.1783468188848,4338.898404869514,RI
2,4352.138283623903,4184.670761342679,2230.47356347626,7421.4749979877115,RI
3,16304.803263080968,16161.824283797221,12450.107666517875,20964.453493861463,RI
1,14661.289706333204,14328.844844145548,8372.255023508764,22823.08274677058,SC
2,5368.851094238782,5078.425900825789,2184.9725986701847,10266.842141326255,SC
3,43512.162163347566,43614.32329919096,34705.151103407254,51692.25898772644,SC
1,220.9485975564365,202.8526571441713,88.56496416516528,455.67967139171935,SD
2,1523.0547553008753,1464.3534162539281,614.482428809226,2730.336406035792,SD
3,6323.87659655315,6324.214727780401,4882.472601432802,7810.096436105785,SD
1,22652.762624142426,22452.209537847863,15138.788868418273,31223.381278717796,TN
2,10656.382282246594,10304.980248326292,5701.835653474882,17463.913824820476,TN
3,66453.29244739532,66378.7164270768,56940.48384812204,76368.75130835059,TN
1,89090.8665840055,87074.13004840109,52201.69984903589,137329.50497420784,TX
2,130555.30877031932,128645.09508835571,83226.06187113374,188865.85335907614,TX
3,260755.97968587658,260187.2635591497,208946.1209585305,316026.56756497716,TX
1,1106.00119074929,1039.0088320096684,527.9272100673417,2076.0146764734864,UT
2,8057.537619986066,7798.784921603279,4398.203803597914,13186.229087439182,UT
3,38700.91736165964,38455.77579553277,31120.488973206084,47642.06181745966,UT
1,31017.71869228944,30613.16403705405,20393.324799365633,43867.37072663754,VA
2,21800.025006349217,21122.18969901958,11892.291707827795,35452.391471030336,VA
3,81544.10610358533,81532.73404056557,67293.1194379145,95940.83109496046,VA
1,153.95574865729867,140.31219902462115,64.12337850779922,322.42548824647633,VT
2,1559.6538067146903,1340.5947947503764,334.23362329315125,3868.5466159682132,VT
3,9912.027154911537,9933.374107798518,7179.416712961545,12540.8095123951,VT
1,12170.068593308055,11672.657844386531,6677.8025240594025,20498.885160237212,WA
2,37686.931916101414,36932.679808390385,23608.656746171575,55732.70175567228,WA
3,106508.65167716042,105960.68632602965,86775.77402955752,129215.26353650793,WA
1,8628.505661808975,8439.666884383152,5036.759197845939,13319.614843516649,WI
2,9280.439138938356,8965.15461885828,4844.534782542348,15374.22132048353,WI
3,61015.29564068238,61048.7274377907,53202.94911242556,68802.75095609871,WI
1,832.0197440702117,778.3517981372183,386.011723598948,1584.113115489714,WV
2,1639.36600201418,1450.3713674550404,481.2516524695178,3783.7754893663823,WV
3,19552.598172910868,19556.53694368305,16763.017066217344,22331.427550676028,WV
1,62.82955509763304,55.72172061445524,23.84209680729679,143.29731271946494,WY
2,1391.7840201753309,1303.1424805665242,347.8823299766027,2894.3187553364824,WY
3,4857.287419030981,4845.761408731491,3155.537931100132,6697.299398233199,WY
