educ,mean,median,q025,q975,state
2,12591.357830844694,12201.18796465731,7477.513439865539,19946.577800219147,MD
3,27507.380240412203,27284.01119964299,19633.0399052594,36756.62482527016,MD
4,5267.25655641835,4592.141624377722,1951.3680526598903,12551.47871569053,MD
1,13330.642453567056,13253.176205049771,9373.229920197682,17712.637373944053,ME
2,3820.1081583496875,3636.4967316604975,1766.404273904718,6835.236590315765,ME
3,6020.542525561481,5894.5390211511,3622.26651028761,9115.794626624862,ME
4,1196.2816960860523,1036.000778996241,393.910819154514,2940.9435924698582,ME
1,79805.4533241636,79670.6620448193,66017.46996616096,94472.2311699869,MI
2,14976.214260981746,14679.121735431589,9595.884930421367,22015.609029539835,MI
3,42964.87379647629,42719.47861513673,32771.8637599397,54493.354597794285,MI
4,6048.0557664571215,5632.607056966402,2843.9255588955707,11613.818630879261,MI
1,52002.191207023476,51763.722964835426,41268.44784955648,64051.588316423695,MN
2,7881.515822740363,7648.527181769612,4612.970736099184,12456.729454590331,MN
3,29927.040895555154,29637.13564606157,21420.02495977169,40122.66065280265,MN
4,3986.3066135077643,3726.7275416469847,1817.3812401925547,7672.188106952708,MN
1,44771.969059610165,44636.52980028087,35706.827847110675,54569.54072639762,MO
2,9505.13707241347,9231.683624649144,5810.9519089210435,14650.40153303804,MO
3,30402.93815353121,30212.57833340726,23122.35283379439,38700.795816970756,MO
4,6598.953106224143,6121.591635378508,2910.180375738256,12938.058508668944,MO
1,13561.904930186856,13463.94598496128,9006.242481338213,18587.500037424245,MS
2,3014.042933258263,2714.1165257889443,1130.3035587128518,6461.4567247264595,MS
3,7970.863253593089,7778.438324322893,5079.531050661435,11869.856615661858,MS
4,3899.8597530595016,3518.4387720307245,1476.811289300807,8379.182061771826,MS
1,6993.556443791258,6968.2212375571435,4975.649257714546,9152.812906101333,MT
2,1223.4654488237209,1111.7191419766816,472.0983087867848,2571.370428927639,MT
3,2772.106174760483,2694.774453447313,1587.5324671597184,4378.099603957973,MT
4,639.9881068037006,510.08047633060886,154.86144307237402,1872.8956991655807,MT
1,81425.77176354887,81317.25791334933,66362.2243223745,96895.96058095006,NC
2,15501.818183019306,15057.801900934266,9371.5409761973,23943.40285704021,NC
3,41416.53526035068,41112.426601369865,30803.810004510608,53617.66827427835,NC
4,11098.906727793903,10553.58264872419,5631.816163095255,19674.270712460417,NC
1,6173.993776362528,6102.778230424032,4402.388788955997,8364.75983349493,ND
2,647.1953191406492,599.3815889343942,270.1241363402155,1281.821242500941,ND
3,2399.6722368780124,2340.395027364989,1389.372644504233,3754.6038739380188,ND
4,582.4248715733733,523.1264946644801,200.64567634599987,1300.8125296144544,ND
1,13544.313486586077,13502.258121089693,10085.357175872688,17246.720005038922,NE
2,2059.7416825920327,1938.1352002983454,914.1774035387483,3861.823722714628,NE
3,5225.047923928295,5123.027692662708,3102.269223255801,7911.72053774428,NE
4,942.2278139422614,809.4013356324325,286.5089993605597,2373.0697722389073,NE
1,11912.502677492143,11832.416274519837,8562.5502964364,15730.771462403187,NH
2,3615.4209212296105,3459.9879631807335,1785.5375035621032,6265.843241202045,NH
3,4891.340633913816,4787.719413741566,3154.304574461273,7226.521882933605,NH
4,1157.6783760332405,1006.0946910990197,394.5697030164198,2798.1463683089655,NH
1,75985.62901645439,75953.81025856038,60781.74965848026,91462.51165019746,NJ
2,23393.01392989359,22922.163190530933,15043.277029306528,34384.72970789792,NJ
3,36986.17163386979,36669.010724439475,26514.56837412945,49287.063870696096,NJ
4,6053.331566185324,5292.062472095571,2305.808526708505,14278.648034232421,NJ
1,17075.54064865374,16997.882099926497,12233.57804317664,22413.800210160603,NM
2,3446.2764103290065,3301.420967821584,1653.1984650533698,6015.251977331162,NM
3,8123.8641775101205,7982.773120490693,5001.7143718027955,12043.142287361805,NM
4,2830.7054227816593,2631.4981940119987,1085.8515991229237,5697.635603767898,NM
1,35513.363879099576,35009.96219718823,22352.227173953484,51651.30954246413,NV
2,7962.496805489643,7479.049442808088,1383.9799319030785,17846.28637274705,NV
3,16905.027976752317,16315.096893936843,8641.41126522089,28561.234159908992,NV
4,6241.780665965469,5490.574877438921,1435.3282026143597,15285.129702410753,NV
1,212361.6750127075,211621.39617684355,165966.36100967284,263040.3272068655,NY
2,81304.10900801874,79903.2697177347,51871.466014173806,118863.35087179672,NY
3,123401.48886489606,122351.54768143428,88381.460147547,165006.9685309334,NY
4,19032.612030683857,18062.296739352903,9600.021193204282,34074.07959173479,NY
1,90618.60953595217,90397.67927754426,73402.28229838911,109145.24878946535,OH
2,24433.573883651276,23996.778650573935,15724.878342247737,35608.45745987354,OH
3,59810.56346393549,59512.521587351555,46122.59646653351,75212.69303802734,OH
4,9099.79012374495,8564.814722655272,4458.8183934542185,16774.08922898933,OH
1,27786.59365850474,27657.92940500506,20444.41417220507,35886.01268086421,OK
2,6198.507425428196,5943.46497310751,3318.248565404178,10499.184047928948,OK
3,21330.97998762317,21140.33276228663,15198.449947952662,28542.865608573484,OK
4,4490.007918883458,4124.678575963921,1869.0659253863607,9137.562780366434,OK
1,45022.94573135587,44822.85230865513,36382.31672600704,54833.63026555059,OR
2,9160.350436256758,8963.403689235358,5744.090520399895,13676.253436699022,OR
3,23080.966819711157,22851.832321691363,16945.30343425578,30557.285828489243,OR
4,5339.044448142302,5065.631130613309,2643.372495341591,9578.25814573574,OR
