ethn,mean,median,q025,q975,state
1,4730.730703252134,4593.883588961596,2778.5510708110946,7482.7031210112455,MN
2,89066.32383557463,88709.18823824018,77853.48055639054,102387.34706228609,MN
1,2479.711883605482,2391.659909656758,1421.440992242115,4044.1266153974466,MO
2,88799.2855081735,88666.82738422054,80901.79136326596,97485.8573334029,MO
1,166.64096567543925,156.70515896129993,85.95679487654465,304.02396279114214,MS
2,28280.02990442227,28227.854908763045,25846.89296172476,31034.09384460478,MS
1,51.137808200341276,43.360605703419914,17.005311893367704,130.07860229467713,MT
2,11577.97836597882,11535.806194370492,10111.960818919493,13286.432834048228,MT
1,11509.53764001881,11254.146048314968,7073.13578898832,17399.60298335297,NC
2,137933.49429469396,137796.03590949817,127042.74442481539,149709.54361199416,NC
1,93.03113081882809,79.53268996924204,28.558163254219505,236.5052594281042,ND
2,9710.255073135735,9584.756522974514,7794.581877860912,12332.677648742017,ND
1,318.44924522306957,275.30007908248297,111.45300255874271,775.4076120749024,NE
2,21452.8816618256,21356.358877045976,18510.328251803217,24918.621923647646,NE
1,1541.4787343406924,1467.678957185461,723.4573590617214,2781.9286521847685,NH
2,20035.463874328118,19937.657174827953,16547.037460298092,24087.4139873128,NH
1,28058.872501665588,27579.109995650688,17796.45649143211,41102.476207951055,NJ
2,114359.2736447375,114481.70571559617,98930.13013215762,129086.90129444399,NJ
1,3844.7718490794236,3521.0958201712,1508.6562748718359,7990.987829339599,NM
2,27631.614810195104,27583.19439180903,22349.61097096371,33171.23163427268,NM
1,29139.748922362494,28622.183162914785,12986.541829195467,48203.50840117262,NV
2,37482.92040494451,36887.92886735055,21833.83983463219,56470.89600033735,NV
1,39425.83789182607,38315.14146214498,23067.39232009637,62186.09241893458,NY
2,396674.0470244801,396098.6815699107,356742.2462147799,439825.5565922517,NY
1,8049.468211245843,7789.576736769403,4675.250513618418,12881.293054722782,OH
2,175913.06879603805,175644.80332900622,161594.36196512135,191785.55728331525,OH
1,4558.647142375819,4450.029254120382,2817.600718918294,6945.61300862455,OK
2,55247.44184806375,55064.44514701856,48417.140261467765,63073.907089884815,OK
1,15013.904179486555,14726.6829929472,9280.845847766053,22344.710248640586,OR
2,67589.40325597953,67368.98595506299,58823.293314289695,77669.06967584901,OR
1,16631.085199911693,16343.169733430339,10455.726790259605,24460.748827208492,PA
2,185793.1692016897,185461.2828470937,169886.64032379384,203497.18240172317,PA
1,3727.253023902865,3568.3780562767997,1417.87938752011,6907.456253305289,RI
2,19297.818094821803,19128.871825939223,14769.893694601771,24762.788852750564,RI
1,1256.1060464467687,1113.0558221670403,470.19349870854916,2870.21457521218,SC
2,62286.196917472786,62222.60325513028,57120.27596938159,67821.94119328845,SC
1,41.21471891529431,35.938721911726034,16.08223247337515,97.45168909677739,SD
2,8026.665230495168,7987.073995754034,6946.570596348405,9351.315043908038,SD
1,5602.162599232692,5468.839575323923,3416.61966429234,8581.136506615163,TN
2,94160.27475455165,93957.12031542289,85328.77446922392,104104.63043837022,TN
1,152322.1213126152,151500.78084836714,108523.713369813,201188.00461139606,TX
2,328072.1678220614,327537.7503051219,279594.500339027,379304.17384961277,TX
1,5589.782379512537,5392.722148106636,3044.1374873796494,9270.563943052577,UT
2,42274.67379288246,41998.86446772383,34768.836928594785,51271.58026026221,UT
1,12272.97131317253,12091.262243365338,8596.873781024913,16932.70965818162,VA
2,122088.87848905145,122013.50972506742,113460.1116750849,131223.26913260794,VA
1,49.841642637794436,45.46166118839481,24.149692547199674,101.09592726691898,VT
2,11575.795067645731,11516.603093870483,9601.105631541783,13924.27502607106,VT
1,18538.861790373725,17980.996681899884,10753.474198808583,29472.361272097696,WA
2,137826.79039619616,137116.96573087428,117478.04035258568,162263.84846648946,WA
1,2699.7871744936015,2618.847262963977,1600.6466282067952,4283.903931675022,WI
2,76224.45326693612,76075.82770272065,69350.77575021362,83962.91128994722,WI
1,95.99630188132323,83.67173656895753,34.04865942115235,230.38484332478743,WV
2,21927.987617113933,21876.845179806096,19696.13961118946,24472.618156894147,WV
1,72.55217858525825,66.34315954767703,36.4088884841507,144.37026003996723,WY
2,6239.348815718687,6167.15639391448,5010.027050980725,7881.508943156404,WY
