income,mean,median,q025,q975,state
1,2280.875491674636,2116.5301857212744,1050.0486827037273,4453.869562294728,DE
2,4152.936808147153,3784.8040800209337,1489.2572482349456,8844.295768641756,DE
3,7941.57256703203,7671.595715985888,4536.123064592193,12867.354948076178,DE
4,7431.215342119732,7047.594089341885,3715.7843162190206,13242.877854527878,DE
1,78094.9752303146,77005.11299672551,50376.00585028087,112138.58261273694,FL
2,68800.03982025266,67166.85140427845,40925.60070326995,105819.68410895376,FL
3,186901.92256868753,186230.77442007125,142613.22833248775,234467.97558105298,FL
4,129185.57431731823,127980.73738292162,88319.57726126684,176667.14342097862,FL
1,31352.064647011353,30635.829938117015,19364.955553492113,47325.875392759175,GA
2,28824.569498333152,28090.332802351702,16482.931302866516,45297.46743798535,GA
3,66005.88008638992,65678.70442608258,49159.00959122356,84575.35702706134,GA
4,39029.96678667139,38601.036163281206,25671.52607687556,54972.20801250586,GA
1,4722.292390162491,4490.775062444487,2150.396660289645,8636.02693560914,HI
2,3538.08577527497,3262.5855974532674,1017.9047141233449,7500.907189772699,HI
3,8069.839298970629,7827.234066434479,4305.8660917538655,13121.832258009383,HI
4,7479.943133963143,7212.313826366389,3593.9241756261663,12904.943008792538,HI
1,7170.924549706664,6992.897607972861,3765.24381173501,11571.904672295075,IA
2,6128.298507381705,5880.030681829384,2781.3029464880187,10845.317973647394,IA
3,14159.687095381465,14047.332528991035,9055.399293117154,19872.537947594647,IA
4,9252.975237230137,9017.844867566528,4447.247560488179,15372.684827725157,IA
1,5051.06579799187,4953.2998937376215,2739.529216994188,7892.627304244094,ID
2,3322.2949261821254,3204.9820739012193,1574.4933664353491,5742.721894454988,ID
3,6954.337735658145,6870.716802354733,4389.980037161147,9959.859875095166,ID
4,3943.7455124667,3818.8749606300753,1867.9216447336398,6748.99680757388,ID
1,27187.18651082766,26235.28584443175,15975.749987212805,43929.476400194995,IL
2,36010.33261021698,34469.291449913246,19069.489678925926,61466.63796947963,IL
3,95228.4693122409,94101.82309544066,66674.23460274399,130476.60348302014,IL
4,64879.88389006368,63390.585160483686,40541.913851396755,97257.98197487432,IL
1,15367.154082712894,15161.41917416577,9735.641380891244,22195.556948645342,IN
2,16339.204799949419,16024.928536258307,9778.139016934872,24620.83058366286,IN
3,38821.4613674997,38692.301023395295,29593.506397703244,48758.535819741024,IN
4,23672.716911500363,23424.015463066586,15740.678684376457,33016.32669974246,IN
1,5332.768009596426,5226.876145095974,3036.6171880939696,8231.298220318553,KS
2,5533.992290593231,5383.531550391806,2924.103601117356,8965.78821955456,KS
3,12563.647567201664,12489.615157978436,8945.392421630293,16584.42409610506,KS
4,8255.936246505484,8106.393732116852,4929.944250538471,12396.565862758676,KS
1,12489.268150518225,12342.097237629714,8156.080785664654,17694.72159707142,KY
2,12212.4205629353,11870.968674995747,6716.387214130594,19485.67480130251,KY
3,24815.732169578096,24645.61677368437,17781.96379036092,32700.18870549089,KY
4,16796.703355682756,16404.277493292648,10306.902681028114,25280.049986468723,KY
1,20206.058542282466,20064.412267020976,11842.931403993078,29402.9900420135,LA
2,9266.187110451006,8930.079683226248,4506.604888655828,16014.418874767553,LA
3,16566.488832392366,16312.374983295984,10249.314275665723,24233.07422218463,LA
4,10897.15413398374,10538.23846001968,5354.036849503624,18505.502319356245,LA
1,17180.65833878182,16506.881948779715,9600.51721946716,28586.811895752733,MA
2,17097.753366145753,16386.737220242154,9106.496845662345,29095.92659265491,MA
3,49628.484390810365,49247.35141735901,36357.51621416578,65119.5197632439,MA
4,50123.215329717525,49854.319176923425,35072.949715141935,66776.01240479774,MA
1,11955.624788735318,11286.958125993642,5989.979107975717,21654.033960310102,MD
2,11079.894733331968,10431.112258083693,5350.746110011514,20488.57947161268,MD
3,31897.979087081927,31548.323217192177,21663.84904738806,44101.08605638233,MD
4,39001.88128370533,38832.59397599063,26975.963073357394,52112.05183220874,MD
1,5161.373241529793,5041.349376749695,2734.9660644999735,8267.428962920463,ME
2,4157.0078034937205,3970.84650326125,1831.8707656829229,7486.104413827985,ME
3,8527.013853242486,8409.622522462436,5199.268782164211,12491.059814030978,ME
4,6522.179935298278,6343.85717718892,3137.0979784935025,10844.215177302576,ME
1,21721.582595613494,21338.482053468288,13619.77810716445,31925.156265251248,MI
2,23471.10328589289,23010.314846164714,13906.305470383202,35686.04013986536,MI
3,58872.47016034717,58666.77890378011,44754.68098634448,74116.51969623104,MI
4,39729.4411062252,39379.450527337205,26897.595219997456,54642.6027886796,MI
1,10343.994938081012,10057.626348881417,6232.6696071832,16077.584485068568,MN
2,13456.1374887795,13041.677685851771,7370.357827436062,21857.432247246616,MN
3,39927.968251370476,39654.43411094435,28974.105116437175,52473.405943441525,MN
4,30068.95386059578,29645.68864716673,19465.810297702792,42954.45788830373,MN
1,14250.314011244636,13980.510283739926,9058.931208093702,20958.72568223128,MO
2,16606.284987133433,16278.20751771837,9628.090306942984,25410.690435009743,MO
3,38902.67036102425,38759.998223730756,29609.005699412122,49048.880447714444,MO
4,21519.72803237667,21213.185274471944,13868.763807942398,30942.833145765646,MO
1,7891.581612448522,7809.14503070522,5067.411982002139,11181.080717500148,MS
2,6453.651046225155,6200.550858491424,2929.884988689172,11202.064409283377,MS
3,9100.392375338039,8946.243645741852,5456.212441815523,13562.757559064601,MS
