age,mean,median,q025,q975,state
5,7530.241707558126,7379.639417694816,4430.252494530396,11507.988004972452,HI
1,5811.770671695966,5521.086889870171,2469.2420457982644,10803.862782778218,IA
2,8712.676709541227,8474.668245790373,4976.308987556259,13716.337500334232,IA
3,7084.578506490938,6904.7126912636195,3931.8650108965535,11206.482774083635,IA
4,3928.685560299813,3762.3413767049915,1922.0696635794309,6857.635615969924,IA
5,11174.173941672027,11062.80952032563,6731.75303370064,16224.587534216855,IA
1,2864.692679987601,2697.8418947372593,1172.8716245449236,5474.173533475176,ID
2,4738.991802117659,4641.714204598987,2768.142199839417,7268.657115716525,ID
3,3618.6444490162653,3533.4669493771316,2056.2837427367745,5663.15302219889,ID
4,2387.714222131156,2283.6825738695024,1159.3451447031837,4194.3711711425885,ID
5,5661.400819046159,5578.019323839516,3460.0727602004267,8335.070920707794,ID
1,26048.04052389197,25403.57755593479,15771.300548881763,40017.875227188684,IL
2,62014.946649098994,60966.42670917542,40777.817529545864,89246.68570577863,IL
3,35830.358186981524,34927.62404634178,23129.006230909126,53605.309323888054,IL
4,27848.565924129194,27064.57592981817,16987.666476299837,43245.77260919905,IL
5,71563.96103924752,70466.02554937359,48786.16121194776,100647.31504954494,IL
1,14848.789169527834,14565.671730238162,8990.381244556489,22328.66983874676,IN
2,23551.154652950387,23315.86900784309,16736.503921529595,31727.574408267872,IN
3,16779.212882409338,16573.49583660975,11555.180724014774,23159.71521698013,IN
4,11771.341327500655,11569.428550955876,7618.882398383386,17039.91873731477,IN
5,27250.03912927416,27111.898314904713,20002.638002074134,35416.243726734305,IN
1,5879.644158646033,5724.493292677442,3300.0364621201443,9326.710125494808,KS
2,7124.622646054705,6987.731764515931,4515.213605871778,10482.987601168026,KS
3,6280.254251571591,6173.365555044933,4034.704543174945,9111.46177813172,KS
4,3782.541759209817,3688.076828343355,2221.856072645472,5877.980764857109,KS
5,8619.281298414659,8547.324563604536,5779.352227029625,11865.466709058262,KS
1,8972.120119949854,8632.300294102377,5042.349304564748,14896.933127436458,KY
2,16721.589900909577,16313.570103139124,11023.881196523169,24424.85484784709,KY
3,12379.455049555285,12097.115294224373,7762.1052541757135,18523.842820751,KY
4,7013.711505609775,6892.68017233456,4559.07303219852,10151.421033300587,KY
5,21227.247662689882,21036.170763020826,14718.57171611121,28643.744578037746,KY
1,8764.657567134664,8251.865214926807,3556.313375550828,16859.44750590529,LA
2,14389.58681556522,14159.87493730475,8699.626366743383,21353.16293724655,LA
3,10109.550537728013,9869.161807141396,5891.812393477061,15633.02272843988,LA
4,7556.030751841821,7248.415883661011,3721.545045591188,13089.577728112845,LA
5,16116.06294683986,15869.30173922878,9800.281743017118,23751.284034445234,LA
1,23069.453506151905,22535.645428389253,13516.803171289763,35631.224422626976,MA
2,33111.39790771448,32723.284529619705,23288.135116936624,45112.25517068497,MA
3,22043.472511395874,21676.12214273672,14665.433689313682,31552.434811729432,MA
4,19739.593182088243,19211.628514924236,11867.657951586265,30601.00999857817,MA
5,36066.194318104965,35779.8865066993,26481.490880955575,47476.18494091695,MA
1,15897.762265364663,15402.601708211863,8502.722361943568,26074.837694056332,MD
2,21218.62996581037,20833.72560713046,13855.162989996288,30707.778849090897,MD
3,17656.49323922426,17293.77024882121,11182.2917987147,26098.79529930421,MD
4,14365.731591225298,13860.777743577919,7732.428991435662,23922.709382658475,MD
5,24796.762831229953,24513.60741102647,17510.85760988656,33640.12085091393,MD
1,3035.6261967517376,2835.7524450354103,1191.8854874665467,6018.959054104066,ME
2,5448.340097316886,5261.110507250106,2997.9508299596127,8907.259389406545,ME
3,4377.644984408564,4231.631154811913,2333.9175295713926,7225.2923646333875,ME
4,2642.224057069856,2523.609272894979,1273.841712852243,4674.381369607917,ME
5,8863.739498017234,8785.522140336934,5444.636708778224,12764.394102326634,ME
1,20598.918762839472,20226.03683637325,12622.764643155064,30768.30580085781,MI
2,35321.52110837766,35003.21924025394,25312.617070847435,47143.60898169433,MI
3,23128.62461799513,22841.839128844807,16001.116354558942,31887.545102142343,MI
4,18376.089727879196,18069.711795708583,11993.823578198513,26522.383091409672,MI
5,46369.44293098728,46145.02840018622,34849.351165693966,59077.09983472998,MI
1,10612.931568521983,10351.184514835453,6380.6482200484215,16380.554942150433,MN
2,25519.930740289572,25199.900389027913,17277.778362970952,35526.535906526675,MN
3,16415.18959656879,16118.628729489581,10855.95760371503,23651.277346070117,MN
4,10802.665583972122,10551.33610729182,6730.507742736546,16303.182441619403,MN
5,30446.337049474292,30153.538275123145,21542.213365783507,41005.3306994426,MN
1,12974.0511316009,12691.305883460533,7818.355403429495,19757.0543455433,MO
2,23036.39593798217,22755.893504946238,16165.773751526764,31436.386252476364,MO
3,16470.940250159656,16240.708707270884,11128.003054586921,23079.44535992091,MO
4,10504.729919879699,10300.910726987528,6718.068826032416,15448.62604474623,MO
5,28292.88015215656,28143.878796310397,20818.878395085227,36656.41595387489,MO
1,4304.79795920777,4013.073817762476,1976.076333217347,8310.721369124589,MS
2,6588.890488078627,6233.445334724087,3517.6054398886267,11438.856089957568,MS
3,6091.086782484633,5869.250680789857,3249.6839467725754,10072.020215117307,MS
4,2615.641905661576,2531.2600321517702,1469.0629962763655,4227.606317040528,MS
5,8846.253734665104,8698.505716844957,5179.465097823136,13246.936456207952,MS
1,1628.023875590294,1526.6664772960373,657.6154640472524,3161.7907065268882,MT
2,2740.955412516021,2630.0375969714723,1484.7894890351738,4605.451981193067,MT
3,2342.44136628079,2257.1375359244475,1213.4131460471765,3924.435739034339,MT
4,986.8285897646379,941.3155105360585,471.9657004883479,1757.3990296864195,MT
5,3930.866930027419,3885.7012843495404,2304.4361934226,5809.192575476784,MT
1,20641.70476625079,20024.295051187277,11753.709697429906,32925.8867411279,NC
2,38845.14459230571,38452.28059371505,27470.24819001599,52438.01529397316,NC
3,25194.20415846357,24822.200944491302,16926.39016180207,35542.35742462262,NC
4,19120.340930315026,18789.041492446537,12454.562198368623,27712.961388884825,NC
5,45641.63748737765,45392.40769616746,33112.39486042135,59622.75998814311,NC
1,1883.409641832303,1780.4035570699198,774.3622496574595,3586.932721247729,ND
2,2675.495127504551,2604.999064414784,1506.8615350051866,4231.820767510791,ND
3,1815.5816427605564,1762.3357979378866,992.2445024237252,2924.8204245523652,ND
4,939.0596199956768,885.5861466915871,424.6067950728053,1753.820939243272,ND
5,2489.7401718614756,2439.308165062448,1440.6150180906864,3829.9960138167157,ND
