countyID,mean,median,2.50%,97.50%
82,235.5823909,220.5556942,103.6911536,457.7465188
83,150.5522705,138.9227123,88.80235358,282.5212797
84,,,,
85,7.358103238,7.239975901,4.36069992,11.0304043
86,801.4697164,773.7459519,464.1461134,1294.991459
87,93.92022139,84.61695821,56.56821915,188.5701472
88,,,,
89,56.5023294,53.27215708,38.32151348,93.57311012
90,32.60816316,28.91582782,19.92684401,68.86376579
91,,,,
92,73.78708617,71.76553667,52.28205739,107.4430252
93,12.81428823,10.23813606,5.693688238,36.75760183
94,,,,
95,16.97515965,16.75266138,12.00285055,23.20046181
96,,,,
97,,,,
98,,,,
99,1394.896224,1338.398877,767.2080497,2342.009122
100,1430.467968,1377.580248,810.3852157,2347.860582
101,,,,
102,,,,
103,,,,
104,136.8646991,135.3449085,100.7178157,182.0580996
105,52309.52104,51727.63719,38311.38963,69558.85098
106,2136.275978,2055.108353,1207.026795,3507.110296
107,,,,
108,12678.81029,12534.18493,9227.146397,16934.99619
109,4646.823315,4558.676223,3141.295151,6654.095642
110,,,,
111,2560.627087,2467.979135,1456.613816,4182.942768
112,1578.290635,1524.579866,911.369931,2545.087727
113,238.763779,218.4737191,130.3262477,465.3252509
114,181.2572856,170.2688511,116.4639366,313.2513267
115,548.9879438,523.6575361,340.0340812,900.4067647
116,2484.93592,2401.411633,1433.815775,4026.010574
117,296.4963308,291.0147047,214.9755656,409.4456672
118,78.79617241,74.10508359,53.40472127,131.9802019
119,63.33162633,58.05603439,36.57849401,122.1735777
120,422.7912504,405.0554936,252.9444307,694.0182567
121,77.19537776,76.36365345,56.60655089,102.595786
122,177.5437294,169.077429,122.4191953,285.1465045
123,154.0113866,141.6255934,94.22536959,289.6635289
124,298.9678881,280.7683659,185.3392072,520.700011
125,132.1904232,113.4871302,59.94566058,315.6188262
126,189.4562362,180.3888864,129.3686954,306.3246934
127,273.0820014,253.28886,158.3260483,504.7867343
128,1208.195702,1152.298235,649.9529117,2081.361859
129,731.2027634,685.7048205,369.2209419,1357.028807
130,,,,
131,208.3851203,191.1419413,118.6330836,400.4647913
132,140.7992564,122.1597281,60.63684196,330.427732
133,74.53428866,73.71886133,54.54099384,99.10653888
134,329.1558146,298.7757365,159.1438744,676.3638344
135,1331.779338,1282.350025,748.2798589,2204.11403
136,268.4956192,244.9096611,141.5647816,531.0414856
137,106.9285977,99.8498222,71.53915302,188.8958485
138,932.5317928,896.3208804,527.0869828,1539.547456
139,144.2544531,135.6209109,76.96212905,262.5216807
140,656.4509737,629.5794583,396.0685403,1071.627173
