state,income,mean,median,q025,q975
RI,4,0.0607976869330811,0.05987195791820414,0.03848641813583045,0.08830192566160103
SC,1,0.09251778642673363,0.08797523689705722,0.044804752298651586,0.16584348862339243
SC,2,0.05555938432188775,0.053337360819237976,0.026295968290879778,0.09800697925088492
SC,3,0.0492153118300124,0.0477674850879895,0.02904313513389628,0.0773989365499434
SC,4,0.042678654218912454,0.040919190757656154,0.021952503593547664,0.07371635002118722
SD,1,0.055775617162296086,0.05251377890033474,0.02504225461036944,0.10492735357164178
SD,2,0.06007022245287868,0.055238984000390096,0.020689485224579602,0.12503744503159298
SD,3,0.04426224702550499,0.0431193950728645,0.022736269368317047,0.0722535870543732
SD,4,0.040878072126821374,0.038550900549221806,0.01599478521591987,0.07768194399152738
TN,1,0.06787753971445133,0.06594885076009897,0.039784502723438864,0.10744206281940603
TN,2,0.06501645359391393,0.06262238742734527,0.03342837197504872,0.1090933601236499
TN,3,0.05807235064820706,0.05745449622237721,0.04041476800053889,0.07923921921133853
TN,4,0.05068892719705979,0.04939747496089626,0.03175645639876164,0.07656546067043593
TX,1,0.07146286314346911,0.06970975858225925,0.042888610263837314,0.11035520634202399
TX,2,0.060669757876203566,0.05889092090897731,0.033706840512101495,0.09772930222487357
TX,3,0.06337431132499374,0.06276155180395851,0.04474479376627902,0.08568492567483378
TX,4,0.05308393822241511,0.05238944383355468,0.03532018754628322,0.074841460489206
UT,1,0.08790138809532907,0.08432321633996095,0.046486980699159006,0.1499917693448057
UT,2,0.06479978639830758,0.062384332458846975,0.03309099439524489,0.11016571783438148
UT,3,0.06387330693557758,0.06302414836789846,0.04261563983317261,0.08963233833130653
UT,4,0.050372767920777224,0.04960895462720598,0.03187807546691513,0.07340368309503757
VA,1,0.07794595792885387,0.07424642859380595,0.042291256526420754,0.1346691872955129
VA,2,0.07360908773416293,0.07063789639703032,0.037128372554314094,0.12694942227814143
VA,3,0.07063471303649223,0.06954287107372958,0.04711214110309857,0.10044600411289828
VA,4,0.06833024939944446,0.06754170865407091,0.04568827014402506,0.09547201414567412
VT,1,0.09208369904400474,0.08537639895134733,0.039241897502286814,0.18268605075830824
VT,2,0.13597628892639327,0.12033479546622558,0.035705288260309505,0.31682690434951666
VT,3,0.09409825733728744,0.09010621567652916,0.04015831376897646,0.16920943234694807
VT,4,0.08991148405323232,0.0847367164574774,0.03115195456606969,0.17473987245999084
WA,1,0.09813975321723031,0.09537042792755002,0.056862736128914196,0.15560323250387872
WA,2,0.07839786273255055,0.07613320505408663,0.042818373515538036,0.12705107001154667
WA,3,0.07738117584675545,0.07662693891599591,0.05435533895383313,0.10453003995124237
WA,4,0.06775866603788341,0.06726964165499269,0.047912652280757424,0.09031749143086387
WI,1,0.07667057536082401,0.07347420866701043,0.04154320496945816,0.13019497427526655
WI,2,0.060078332341687926,0.057356317394895696,0.030001943796781318,0.10467975129875648
WI,3,0.05328634993305628,0.05251045812089686,0.03510489216547296,0.0758375324683113
WI,4,0.047442860353940984,0.04630429328819033,0.02823722553873913,0.0729823077189807
WV,1,0.0772832150577629,0.07386167251930734,0.03805688286133612,0.13585508868226714
WV,2,0.068233539206078,0.06465985751964112,0.026752564099152623,0.12875305738543677
WV,3,0.05429890459353141,0.05291776131628009,0.029568600290941344,0.08663362532812253
WV,4,0.05181127783158935,0.04856002270812345,0.021857094637418348,0.09906205501661129
WY,1,0.05591291310451834,0.051585780296664906,0.023257896898909208,0.11331101666431487
WY,2,0.08067976591477831,0.07157562904462983,0.022164640260431433,0.1865898898463355
WY,3,0.05696444545380602,0.054389519108228715,0.024331290326065506,0.10351172413279278
WY,4,0.05779273809370988,0.054348086284482275,0.018171543698140023,0.11574663280159736
