ST_ABBREV,Category,demographic,value,male_pop,rate
TN,Race,other,9590.4606,373216,0.02569681
TN,Race,white,66442.294,2530029,0.026261475
TX,Age,18-24,54252.4939,1469174,0.036927208
TX,Age,25-34,146125.6692,2171120,0.06730428
TX,Age,35-44,79594.385,2098443,0.037930211
TX,Age,45-54,60034.8976,1826908,0.032861478
TX,Age,55+,134757.1031,3400228,0.039631784
TX,Education,College,256453.1667,9540159,0.026881435
TX,Education,Graduate,80533.9111,2303041,0.03496851
TX,Education,HS/GED,107234.7851,4691708,0.022856236
TX,Education,Less HS,30542.6873,2759723,0.011067302
TX,Ethnicity,hisp,199913.3603,5905354,0.0338529
TX,Ethnicity,nonhisp,274851.1897,8884633,0.03093557
TX,Income,<20K,61896.5665,1229722,0.050333788
TX,Income,"[20K, 40K)",61687.7658,1520262,0.040577062
TX,Income,"[40K, 90K)",191580.5652,3911311,0.048981164
TX,Income,"[90K, infty)",159599.6529,4085945,0.039060646
TX,Race,black,86850.2793,1760045,0.049345488
TX,Race,other,126588.9328,5064624,0.024994735
TX,Race,white,261325.338,7965318,0.032807898
UT,Age,18-24,6154.9366,195402,0.031498841
UT,Age,25-34,15248.8367,250413,0.060894749
UT,Age,35-44,7970.4708,235019,0.033914155
UT,Age,45-54,5384.4132,184015,0.02926073
UT,Age,55+,12489.8034,336210,0.037148816
UT,Education,College,28398.2457,1165380,0.024368228
UT,Education,Graduate,7849.4369,253316,0.030986739
UT,Education,HS/GED,9502.0892,449786,0.0211258
UT,Education,Less HS,1498.6882,134602,0.011134219
UT,Ethnicity,hisp,8924.5333,263758,0.033836067
UT,Ethnicity,nonhisp,38323.9267,1422804,0.026935493
UT,Income,<20K,4800.0446,79269,0.060553868
UT,Income,"[20K, 40K)",4776.8668,115821,0.041243529
UT,Income,"[40K, 90K)",19218.7034,401141,0.047910095
UT,Income,"[90K, infty)",18452.845,498665,0.037004492
UT,Race,black,1035.1842,21190,0.048852487
UT,Race,other,7545.214,308358,0.024469007
UT,Race,white,38668.0612,1357014,0.028494961
VA,Age,18-24,22645.0925,412220,0.054934483
VA,Age,25-34,30700.9876,592093,0.051851631
VA,Age,35-44,25591.7533,582796,0.043912026
VA,Age,45-54,18718.8279,541665,0.034557942
VA,Age,55+,35134.6682,1178181,0.029821113
VA,Education,College,76745.6987,2937513,0.02612608
VA,Education,Graduate,23589.7193,1081514,0.021811756
VA,Education,HS/GED,26875.8679,1423702,0.018877453
VA,Education,Less HS,5580.0446,516186,0.010810143
VA,Ethnicity,hisp,13776.7512,478711,0.028778848
VA,Ethnicity,nonhisp,119014.5788,3799779,0.031321448
VA,Income,<20K,14134.9983,319762,0.044204747
VA,Income,"[20K, 40K)",14455.1195,390142,0.037050919
VA,Income,"[40K, 90K)",44898.5397,1091717,0.041126537
VA,Income,"[90K, infty)",59302.6727,1524639,0.038896206
VA,Race,black,30442.3117,779933,0.039031957
VA,Race,other,20520.7481,840529,0.024414087
VA,Race,white,81828.2696,2658028,0.03078533
VT,Age,18-24,1490.0705,33228,0.044843821
VT,Age,25-34,2354.2648,38888,0.060539621
VT,Age,35-44,2424.1965,38622,0.062767244
VT,Age,45-54,678.9281,39101,0.017363446
VT,Age,55+,4433.8202,109843,0.040365068
VT,Education,College,5993.7557,228339,0.026249374
VT,Education,Graduate,2970.3051,83152,0.035721391
VT,Education,HS/GED,1996.7185,126179,0.015824491
VT,Education,Less HS,420.5006,25326,0.016603514
VT,Ethnicity,hisp,42.1709,7906,0.005334037
VT,Ethnicity,nonhisp,11339.1091,312415,0.036295021
VT,Income,<20K,1365.3038,28459,0.047974412
VT,Income,"[20K, 40K)",1952.4474,38058,0.051301892
VT,Income,"[40K, 90K)",4067.5105,98587,0.041258082
VT,Income,"[90K, infty)",3996.0186,104362,0.038289977
VT,Race,black,142.7429,4698,0.030383759
VT,Race,other,1282.4226,22811,0.056219482
VT,Race,white,9956.1145,292812,0.03400173
WA,Age,18-24,16828.358,341013,0.049348142
WA,Age,25-34,46911.2787,609040,0.077024955
WA,Age,35-44,26257.7032,561645,0.046751423
WA,Age,45-54,19211.8204,475841,0.040374454
WA,Age,55+,45325.7296,1051875,0.043090414
WA,Education,College,89959.2945,2993745,0.030049084
WA,Education,Graduate,33126.4497,817458,0.040523733
WA,Education,HS/GED,26468.1184,1176403,0.022499193
WA,Education,Less HS,4981.0275,421541,0.011816235
