age,mean,median,q025,q975,state
4,18520.955603170758,18002.96016038724,11070.18644184458,28873.658191516723,IN
5,47492.53717833871,46903.58687157337,31919.707336826614,66251.38167172567,IN
1,10812.631217381404,10362.661974967967,5630.388165186598,18634.7451113314,KS
2,13576.914349338987,13079.577480416932,7657.138651333452,22187.43173245196,KS
3,12773.937972505026,12422.91183051496,7443.194522480479,20055.7518342731,KS
4,6432.450251803653,6204.460623433457,3524.204170809595,10589.19985570474,KS
5,17388.724563032625,17095.50605491096,10566.989234718822,25900.2352413515,KS
1,16288.665656009614,15144.433877758664,8093.142078650978,31323.774120673952,KY
2,28981.504081894116,27489.99249123487,16364.056385588623,49447.76648295957,KY
3,24825.374668636327,23796.7638197568,13401.498824134449,41729.737947372036,KY
4,10501.331623570897,10204.082452526654,6360.8088403486145,16391.69435295994,KY
5,38736.0643173451,37957.332960766624,23533.580527692204,58239.783199758946,KY
1,14984.432193770537,13801.021086146211,5491.242844552517,31349.741715624146,LA
2,25068.197464769597,24098.964574845464,12737.16971681034,42918.3959777896,LA
3,18702.68102098438,18015.02260587715,9623.019234555439,31855.95908863548,LA
4,12008.223461691447,11188.123798517217,4945.457497296813,23825.984801076025,LA
5,28794.321621462164,27793.834466160806,15478.691814507414,47973.68523113198,LA
1,38956.48349966552,37664.38267702388,21389.80860062962,63628.345216743786,MA
2,50094.88789324877,49088.84694758635,33223.75523246604,72832.37096440264,MA
3,37047.86510439461,36156.8679857409,23108.685281811453,56034.44748877804,MA
4,32881.660429883916,31646.759907797205,18320.89012764473,54532.026388428436,MA
5,58163.7292270025,57254.15614680377,39888.078042595786,81741.53983470595,MA
1,28155.491688024722,26946.307983651677,14117.888999729537,48868.036601433036,MD
2,34373.02659011167,33356.2199983686,20937.895336425092,53535.93132309608,MD
3,31213.901731754464,30381.63933831861,18529.140610374037,48927.756611214136,MD
4,24676.308484113484,23452.722950424206,12248.469161152909,44123.15262754228,MD
5,42112.13119982665,41289.9520028298,28120.83593524906,60915.379988385364,MD
1,5637.1762309931,5105.295681996362,1949.6889453170681,12364.204689869832,ME
2,10497.63796643534,9866.273332947005,4768.315753652065,19603.742825865113,ME
3,9303.862295975132,8845.727441633,4290.436738126411,16862.110544950232,ME
4,4201.525092611514,3908.3006274111654,1724.114272869497,8335.901061561432,ME
5,18356.792877394848,18029.374887744594,9975.344427794087,28683.151625822702,ME
1,34990.372894368404,33925.21050360086,19991.8771639156,55931.81358315918,MI
2,54493.0903204283,53454.16324285949,36092.411233105064,78848.74317026268,MI
3,40873.08433993678,40068.48524146196,26047.655070048946,60306.68075870357,MI
4,28047.76313860309,27326.948409997858,17047.298427746686,43217.39823517127,MI
5,76184.00227796994,75520.05066155194,53536.37720553913,102473.21049877592,MI
1,17268.123150517302,16665.018892331515,9884.18940645434,28256.03065925507,MN
2,35051.42279178223,34369.7990495147,22950.285708138115,51143.2176524956,MN
3,27194.561886986226,26618.730884941833,17173.87486241154,40410.13121462133,MN
4,15112.774031381245,14726.029068721968,9185.436467645504,23277.754382240404,MN
5,46109.82854718918,45711.99665057777,31764.001610949814,63021.89471484759,MN
1,23054.266962434944,22152.676652543923,12754.341828265897,38540.73903569292,MO
2,36745.827988161785,35682.98101668754,23356.62001642745,55928.52416234413,MO
3,30568.100662730776,29784.9265619278,18735.998831840283,46764.09947485528,MO
4,16227.409712362853,15754.393023137265,9691.422996259498,25459.690702019252,MO
5,48991.99891496988,48434.242368623236,32963.641106761854,68101.730638008,MO
1,8769.004507202255,7839.665383506974,3463.196749853714,19532.558675386626,MS
2,13914.4715560809,12796.551991684739,5984.797509698335,27592.134537686372,MS
3,13881.941229819011,13133.137924894036,6326.337140330709,25439.15771954875,MS
4,4272.570730931762,4048.3381944866524,2159.176393657938,7635.368752973685,MS
5,19552.108234942218,18989.03381505329,9838.723985391682,32531.935924657373,MS
1,3066.862760132218,2781.788532265352,1078.5441955964,6735.0361308222045,MT
2,5451.976674460841,5078.7230093513535,2392.7709108585987,10562.655208278902,MT
3,5204.594495585084,4925.666742108351,2300.8985919246156,9639.036306714816,MT
4,1567.5500717543055,1453.4823126367946,631.7548895591799,3153.4326367673584,MT
5,8601.833244761441,8415.45119419938,4383.791127407242,13913.696054478763,MT
1,34767.41688733035,33053.36511155381,18000.331233108293,61475.56770838469,NC
2,59989.132234877,58343.15048253147,37715.16454196274,91490.36452880128,NC
3,44493.39031892619,43240.407683218116,26716.456767285938,69230.49038475714,NC
4,27867.127684831645,26988.0311070196,16750.87231639576,44171.67649963136,NC
5,77359.00435661491,76232.21363386663,50296.689678744755,110506.61596090191,NC
1,3248.2838804591374,3003.2716204657227,1206.5487183714504,6677.990700985195,ND
