state,age,mean,median,q025,q975
HI,2,0.052479894064267646,0.05018761328863959,0.025694056530193736,0.09214437794853365
HI,3,0.04467211499289224,0.042878426931336366,0.022024173382572853,0.07700765625122108
HI,4,0.02642049509148388,0.024518213648823478,0.010777081604447002,0.05307108747845959
HI,5,0.033136144616493696,0.03225718128213477,0.018055088455166637,0.05301529294029337
IA,1,0.032315952530676165,0.029854926981377476,0.012023247016603076,0.0664066121990813
IA,2,0.04087822832880984,0.0387818448976448,0.01921037216709444,0.07390657914268224
IA,3,0.03598580674377894,0.034527110360051454,0.017248227672777963,0.0627912086275992
IA,4,0.0171264875232986,0.01589533934971342,0.007020675815704775,0.03430228343623729
IA,5,0.02510951356337342,0.024561526855347574,0.013266440331050133,0.0399684170929235
ID,1,0.02789844281665448,0.02581190531066113,0.01024049859353887,0.05715590604706604
ID,2,0.03477523777346976,0.03334085798333242,0.017047307027042633,0.060544702132533434
ID,3,0.02866519588787116,0.02758946463401643,0.01433990561619256,0.048997720117404685
ID,4,0.01756649170979592,0.016312694697565706,0.007204826221933967,0.03507936301330396
ID,5,0.021180073475181995,0.020611800173350354,0.011536157108347387,0.03391888401285493
IL,1,0.03504365159156154,0.03417739203862552,0.020734845266031143,0.054320837663053
IL,2,0.046631651269097664,0.045963650446288265,0.03102692170859874,0.06585452710965646
IL,3,0.032428242921199765,0.0318821489943756,0.020995897301274897,0.04695202657242173
IL,4,0.023839982395382653,0.02326875295735164,0.014503299308553649,0.03641561177383709
IL,5,0.028348506074932774,0.02803733843962126,0.01984228929778454,0.03854422315881321
IN,1,0.03840484428346173,0.0370771432253723,0.021480294771039153,0.06267931956274042
IN,2,0.042532023036435856,0.04147221953759693,0.027282046590765788,0.06356003583790222
IN,3,0.03611484729843784,0.03534647875719095,0.02260018413673096,0.05408506571964534
IN,4,0.022565802480961274,0.021950615994364087,0.013471772139571953,0.03518741453339928
IN,5,0.025765126242714615,0.02544575138444585,0.017355650647867496,0.03597818247945862
KS,1,0.0345361699889418,0.03306372574130727,0.017977722435823608,0.05910921110144698
KS,2,0.03544628812530718,0.0341570497315687,0.019999429428782422,0.05796043560284281
KS,3,0.033553589157764505,0.03266421870339355,0.01960553646922573,0.05258118785978401
KS,4,0.019280287862783026,0.018628873033436237,0.010538387877148751,0.03175342797112638
KS,5,0.021795282894340594,0.021411515746833584,0.01326993499197794,0.032432738051138776
KY,1,0.038871928394312,0.036140698609601396,0.01933957630638644,0.07431690847011824
KY,2,0.04854747803346344,0.04596956540673694,0.027377092332829315,0.0827387747964152
KY,3,0.04413095880260526,0.042337532229105884,0.023907594099284613,0.07415367263779785
KY,4,0.01884145366942909,0.018284694154404757,0.011313426776578093,0.029447460513561417
KY,5,0.030714977963602723,0.030090472263446508,0.018740325660400157,0.04608048966901203
LA,1,0.03541894893562536,0.032645084983707516,0.012934518616896951,0.07366274605737581
LA,2,0.04106683146285295,0.03947950227931842,0.020870037813075337,0.07043144539413236
LA,3,0.03124015172881835,0.030120222770803416,0.016024019295533244,0.052897512197206405
LA,4,0.023168171937396474,0.02153221482417209,0.009514751114238973,0.04622379790516752
LA,5,0.023476992902744402,0.022667919379593775,0.01261307766968547,0.03887831057927851
MA,1,0.058316352787394714,0.05645739378605669,0.03212430657156692,0.09524056798327506
MA,2,0.05099051615914455,0.04998091720405096,0.033765072156869476,0.07411757242513049
MA,3,0.041829996010564516,0.040787029127171755,0.02610153761184591,0.0634854557471523
MA,4,0.038300194707611826,0.03694872741392263,0.021296704860623725,0.06295697902273967
MA,5,0.02902663961716115,0.028568997238296145,0.019845314655067146,0.0407437204264073
MD,1,0.053632608889655486,0.051395832916854164,0.027028131368723396,0.09298241875047399
MD,2,0.0425191510730287,0.041281263712937215,0.02590346319032558,0.06614901658111155
MD,3,0.03851932040448733,0.03742410128935775,0.02283364775605087,0.060495353208050384
MD,4,0.03219364921601143,0.03069078819421609,0.01597128832305359,0.05701704119045523
MD,5,0.02522164414186318,0.02473040324042226,0.0167521589182107,0.03645954944582783
ME,1,0.05073907862030732,0.04596533268714026,0.01757179364447285,0.11029830359636528
ME,2,0.06330948855384484,0.05960273260743743,0.028794404202669287,0.1180867499764282
ME,3,0.057032866823273055,0.054267856406806605,0.026386409790600075,0.10310202983159453
