state,age,mean,median,q025,q975
FL,1,0.09647300211997921,0.09368740463044162,0.05579181849983231,0.15284847808657837
FL,2,0.10963956656467042,0.10831951790976921,0.075660123800315,0.15178501795875946
FL,3,0.07827679468714985,0.07710631582075178,0.05263031597227469,0.11084852106478744
FL,4,0.06997317413543216,0.06835296026090537,0.04331088425510632,0.10598061215117095
FL,5,0.06462590740695372,0.06389890671926693,0.046557224454297684,0.08684591611264018
GA,1,0.09036321216929105,0.08780980989915824,0.05110524328809693,0.14423564358385527
GA,2,0.09058063012964371,0.08898295175261867,0.05988739296446608,0.1303751204457484
GA,3,0.07775337549007581,0.07640535310479044,0.04997103858918418,0.11318112400882893
GA,4,0.05574765766756669,0.053868041221950276,0.03226439786775734,0.08982652628207027
GA,5,0.05361977629621708,0.053021919037662374,0.03707628626665888,0.07362617749131105
HI,1,0.0891844455707602,0.08170133624811801,0.03178560235074392,0.18881016172753995
HI,2,0.10409984793489178,0.09965449959003057,0.05097318972063978,0.18301249878993675
HI,3,0.08862408060320824,0.0851545735573379,0.04361063636329529,0.15305642446561757
HI,4,0.05215570275738892,0.04846185320419713,0.021289382628176017,0.10411001749085202
HI,5,0.06567746703987659,0.06399546782090759,0.03566945441793988,0.10524989355408029
IA,1,0.06411137461601128,0.0592226250393864,0.023842484706244706,0.13217497344825893
IA,2,0.08117774184950856,0.07704441988205793,0.038212346053741374,0.14720470227868565
IA,3,0.07142697443947968,0.06843305869603548,0.03427300765627599,0.12545136847414046
IA,4,0.03380475964417044,0.031473257960522055,0.013890286946294315,0.06717843567476849
IA,5,0.0498175489366948,0.04877691516630797,0.026235537163577797,0.07938202716365145
ID,1,0.055315516327798034,0.051214648334371504,0.020403634772161245,0.11370255485020174
ID,2,0.06897655852241454,0.06612025874422836,0.03379801007523615,0.12017373491314821
ID,3,0.05684170680429115,0.0546964706906705,0.02839147806257755,0.09758204633907235
ID,4,0.03466312922632015,0.03226357347505844,0.014232640568190671,0.06874479419401043
ID,5,0.04195911759033334,0.04086304304932144,0.022804669128738117,0.06752849806370854
IL,1,0.0697643640347079,0.06802063482484375,0.041367974063308874,0.10830876780782435
IL,2,0.09271214979950482,0.09139390833898751,0.0619236581950797,0.13122469489148073
IL,3,0.06441723473400736,0.06329778223725002,0.0417093430680617,0.09355126022540108
IL,4,0.04743595217750487,0.046247363506377315,0.028973026462851974,0.07279140778062207
IL,5,0.056351978829547934,0.05577680500080898,0.03941754328469394,0.07675367124708195
IN,1,0.07638174855451782,0.07381238089656494,0.042717827969748066,0.12492869749706963
IN,2,0.08456167076443448,0.08252870212898764,0.054295407884843806,0.12619771751686434
IN,3,0.0717623034133837,0.07021093906349019,0.04482006803852892,0.10762367785840914
IN,4,0.044859313396259086,0.04361168532189351,0.026818385097301407,0.06993298441302093
IN,5,0.051178691838528696,0.05055363441695112,0.034419680074291435,0.07139518860624179
KS,1,0.06867707674545827,0.06580620291011308,0.03575874208135666,0.11836093886015407
KS,2,0.07046895662206319,0.06788736682792501,0.03972324702184771,0.115199856955484
KS,3,0.06666199487402925,0.06484702006357215,0.038827979177306605,0.10461062661710883
KS,4,0.03830686188718963,0.03695588117203952,0.020990953210811833,0.06308262265755082
KS,5,0.04327783607596008,0.0425444018040481,0.02630127616451257,0.064427450777107
KY,1,0.07737860384506887,0.07195474940821356,0.0384357951247886,0.14880905732210672
KY,2,0.09654581475747226,0.09158601918782097,0.054518538600298115,0.16473537627818757
KY,3,0.08768932907573768,0.08405869395624549,0.04731488771854459,0.14748933532472894
KY,4,0.03738904268624223,0.03632800854086679,0.022641270833365354,0.05838886475779776
KY,5,0.06103912932556104,0.05980461873375463,0.03708452095026764,0.09177305449284197
