state,income,mean,median,q025,q975
PA,3,0.03072577235939485,0.030427316358197155,0.021846875216185134,0.04122524945639714
PA,4,0.02721768844121054,0.026914675179561837,0.018343081488351187,0.03795476608580988
RI,1,0.03468362845176572,0.033141416358300424,0.016625738697941178,0.06156379056669703
RI,2,0.033049901878580173,0.03134540953078484,0.014943866805608394,0.06053730431133315
RI,3,0.037631969900502,0.03705748295895604,0.024488541950455783,0.0539843355901611
RI,4,0.030592360216619287,0.030120730694150694,0.019343066008968422,0.044540495213754736
SC,1,0.04682373770084233,0.04453410540007903,0.022639613163011062,0.08418656203239652
SC,2,0.02791788068885378,0.026767074605850358,0.013190811471490088,0.04929370498052429
SC,3,0.024852469792591182,0.024145158946003657,0.014664794565272218,0.039142509975351486
SC,4,0.021557718469313314,0.020664752176142564,0.011076214238923413,0.037155754511040084
SD,1,0.02820036093493513,0.026562627274715228,0.012574950259199602,0.05325464553868668
SD,2,0.03012279892993615,0.027720801102486273,0.010319533392910236,0.0626257879743309
SD,3,0.022321514802089618,0.02171099793091575,0.011470322980734353,0.036512653355752545
SD,4,0.020587491451051133,0.01940173004762575,0.008033439956914322,0.03916398285653211
TN,1,0.03424315347454945,0.03321703050617167,0.020039328055542382,0.05423812068014363
TN,2,0.032620907321996385,0.031444732557560466,0.016729368860459202,0.054797804825321886
TN,3,0.029232284671507004,0.028914447111705655,0.02032664299297173,0.039864239310613385
TN,4,0.02551728980472717,0.024886990159402156,0.016006644171674585,0.03847986479229745
TX,1,0.036015608200092954,0.03512822736654947,0.021570038712242365,0.05548028129270768
TX,2,0.03048651994586899,0.029585273837328896,0.016823989132421186,0.049012011362037436
TX,3,0.03188926836752882,0.03156406609800376,0.02243774840800045,0.043160563999993296
TX,4,0.026727933737187046,0.026374697335194246,0.017716676580622263,0.03772421672114551
UT,1,0.044378924005061444,0.042528967438822673,0.023409708280022107,0.07604477709604322
UT,2,0.03259613859557419,0.03137850209612497,0.016518888879723775,0.05554624533532145
UT,3,0.03219903990045181,0.03176956129745383,0.021488098748253814,0.045387278529418644
UT,4,0.02541909256917986,0.025049077838977536,0.01606896454670838,0.0369998701406912
VA,1,0.03923929445133807,0.03738578137282969,0.021302866857875156,0.06761247074018167
VA,2,0.036860417893880545,0.035317492349371066,0.018645486229380535,0.06395489119700845
VA,3,0.035486782369169544,0.03492940747762981,0.02364625511397713,0.05047909940181304
VA,4,0.034317024154099866,0.033924148796885795,0.022924018490400357,0.047975096302357544
VT,1,0.04651331145647745,0.04315363689834467,0.019647815988220265,0.0927147775272404
VT,2,0.06808177642467263,0.06032625287246971,0.01787145619225022,0.15903920793585896
VT,3,0.04739743220611633,0.045472586559874455,0.0202318109420591,0.08509407191132952
VT,4,0.04519158716153568,0.042530992642151606,0.015555924944478177,0.08773860896167038
WA,1,0.04948729420389787,0.0480134521692481,0.028561218260489084,0.07872421371630128
WA,2,0.039355490134282245,0.03816491335833423,0.021456342274081993,0.06371080702927122
WA,3,0.0389431362763889,0.038560254590222935,0.027353178674279797,0.052813348240278925
WA,4,0.03412130030002773,0.03388565058097126,0.024044733342022288,0.045614760765291675
WI,1,0.03873648762881413,0.037066350639587575,0.020905992502162563,0.06587819505459792
WI,2,0.03016619736483157,0.028821693640641282,0.015047106203146997,0.05262084757245127
WI,3,0.02686247212558508,0.0264609295523114,0.017710365794056517,0.03833073502538354
WI,4,0.023906300916936733,0.023357005290712073,0.014200755453153736,0.03670738907912043
WV,1,0.03910129121368797,0.03738970647496137,0.01921674730025948,0.06893777127264418
WV,2,0.03423296916966122,0.03246632472947095,0.013395862267337744,0.06470580566296312
WV,3,0.027393804992713894,0.026677303477185887,0.014934794548735425,0.0436862731093805
WV,4,0.026107443360671785,0.02444829620277356,0.010970472546722768,0.04992131645191354
WY,1,0.028271518359908245,0.026141436521095712,0.011735664403259839,0.0575890067161846
WY,2,0.040444064681479146,0.035915256169155266,0.01112234959337565,0.09385506583863083
WY,3,0.028724199111732105,0.027421053370034837,0.012258123743141941,0.05234225379256567
WY,4,0.02903208012405537,0.027251464555355,0.009120172147655412,0.058017862098169296
