educ,mean,median,q025,q975,state
1,1887.351613338767,1632.7000280469017,628.5128747415821,4596.81836451178,KS
2,6107.503008713987,5932.610786605619,3689.984832297389,9496.712082968095,KS
3,18044.284103765345,17881.4878296956,12696.577122451561,24307.94467245146,KS
4,4507.809144265933,4301.865647465938,2305.0232384838064,7836.5361694455205,KS
1,5786.171818700205,4872.986181824097,1725.7221120056236,14609.005057839971,KY
2,15512.145187188844,15046.691015310153,9652.843827762248,24001.205756777217,KY
3,29221.019579983713,28794.253602334178,19777.930809571342,41007.152358177475,KY
4,9252.063176828715,8661.987850487087,4820.738990197137,16873.275088603146,KY
1,4843.3771790810615,4450.229784566276,1708.2071250174963,10119.740949649826,LA
2,12795.47210682191,12371.514420828367,6969.210866041362,21055.049404417783,LA
3,26861.765422017903,26119.145992329053,15935.315998321234,41934.543976598536,LA
4,5393.166246122744,5097.5831922342695,2444.0064727841564,10059.573142253581,LA
1,4859.986046933645,4313.081887423569,1991.057724343497,10917.445893900358,MA
2,22266.518253562277,21867.29797882662,15023.42608074319,31874.077788636074,MA
3,59451.03714091596,58884.710412572174,43566.4750834539,78434.45967087062,MA
4,22192.563552438995,21559.26436290977,13613.225890884158,34373.79250627166,MA
1,4081.6647978248866,3553.5047253878956,1449.8691940018905,9839.47096860515,MD
2,17835.988390018098,17457.640133187117,11763.520079262711,26056.115580574202,MD
3,43573.71226802738,43093.7221199435,30627.401079378033,59283.287626669655,MD
4,14909.700896173195,14289.29159951047,8121.9135631243835,25078.691219495424,MD
1,1166.9457463823076,916.738931748501,285.58062356763855,3515.5211463551373,ME
2,5298.565856548617,5081.562843195288,2645.637671247558,9180.096326570985,ME
3,13270.917530871351,13043.021356121157,7805.864746878365,20005.23402088712,ME
4,4306.095457448476,4030.436241823646,1739.3181282108305,8374.776064732458,ME
1,6013.771724947153,5414.720100357727,2522.560643388046,12897.021071644094,MI
2,28133.67793679543,27743.70856169205,19665.9322095863,38887.394230456855,MI
3,66242.52713832525,65830.7972874326,50292.270446551585,84555.97586794203,MI
4,17115.81802334904,16640.439059283126,10404.283712255618,26520.31577017978,MI
1,2809.458323865285,2433.4166854829923,1067.499649730097,6724.921991769947,MN
2,13729.021596003611,13451.075455951948,9187.889833302075,19842.004150284873,MN
3,41134.24093428493,40963.743692831194,31447.759639606815,51840.39208790626,MN
4,12810.230687395391,12499.046495451355,7771.890236628016,19539.165744959562,MN
