race,mean,median,q025,q975,state
1,4849.815119886889,4733.5975279979175,3113.4311760676715,7253.1353674413,MN
2,10328.322835577603,10029.86152634323,5336.387124812213,16942.933702041082,MN
3,55304.81358608472,55084.68968862477,44847.6150942127,66887.11051311155,MN
1,6891.553389236913,6780.808508207882,4506.655952775758,9895.26348396047,MO
2,14071.21529888568,13660.706953840901,7223.988974337176,23221.55916988425,MO
3,56954.873879863146,56729.09429331256,44685.393376323955,70505.41486951504,MO
1,2586.703040677874,2466.9112724566808,1364.6301309033115,4487.168032534171,MS
2,6660.048733654043,6314.780387628338,2076.4359573055062,13158.81664692586,MS
3,20999.691624639687,20880.996287343074,13919.072086645509,28808.85012783566,MS
1,1489.1302993371926,1427.3298610184588,792.7474340921218,2534.853277308013,MT
2,1726.998407577415,1549.9800984321546,408.1580318685857,3984.4402375385603,MT
3,8752.090117538239,8668.577787986382,5845.59691008811,12122.421336744877,MT
1,11466.046823672812,11238.341619139608,7624.649879442309,16605.57455112923,NC
2,21133.28021616198,20552.421086070517,10819.839710997578,34593.75692551192,NC
3,89886.1685497088,88960.46686009373,67211.85279951563,117924.14075218835,NC
1,274.2757084575355,256.7867312197626,131.10433648401468,516.031938547134,ND
2,2236.4415352556675,2133.353656277369,876.6172279666728,4219.42235666625,ND
3,6613.076080737407,6456.433888398287,4098.398173720813,10042.010078227131,ND
1,1821.6647835690633,1726.9215428182974,858.3440531225008,3332.8539292554296,NE
2,3003.2731584339685,2846.8239863040353,898.8784026794397,5968.001400281114,NE
3,15817.57367294046,15556.48678857762,10441.876603775288,22714.23430863139,NE
1,1568.1143041028463,1522.2851716991204,917.6940489328304,2483.4217146638066,NH
2,3447.9957197116228,3296.466076097972,1078.8049741264483,6707.008227438513,NH
3,16942.274515871435,16824.621626138374,12438.609946426424,22144.503991728514,NH
1,7933.6915043422405,7700.240680892498,4622.496533271044,12582.011344373439,NJ
2,12235.14154132597,11664.892637497593,6188.3371612425335,21567.362128070406,NJ
3,92688.25973913052,91953.89238822852,72334.46969192644,117265.24918047528,NJ
1,1110.9845256022809,1037.8517804434323,519.102996857434,2121.658709920217,NM
2,3023.0384764654505,2800.538111805451,907.826038730828,6353.282469594401,NM
3,24700.971999677848,24209.195589459137,16413.136110821106,35829.799238551124,NM
1,3032.980168030873,2890.7144300840155,1447.426684694672,5432.876544455116,NV
2,3875.3426241301077,3714.181041247728,1925.8217260456913,6731.919279448102,NV
3,33106.72966604112,32801.98001904834,25235.82976347417,42604.59888690502,NV
1,22071.462403124748,21648.65481148807,13711.472348184348,32773.930640548955,NY
2,29476.555620079704,28880.60150944381,18066.81930725995,44336.78271339819,NY
3,235581.31900662364,234254.67574706962,190658.4606518804,288391.98982537887,NY
1,26234.084205549832,25948.946820888385,18357.765530329565,35691.19088211089,OH
2,19694.80624517123,19163.55022201364,10344.690767958638,32036.448583373567,OH
3,97345.56222870757,96715.98242119752,76070.1257774038,122362.60461575033,OH
1,4383.346442970419,4290.186031248357,2730.558616852728,6548.420031782488,OK
2,8397.329707979567,7982.10199654501,3577.216312037409,15462.640125042459,OK
3,35239.36216098501,35143.253004938044,27065.722908031883,43944.454545243425,OK
1,2888.94712202242,2800.561297052684,1747.9074337841303,4521.835219808471,OR
2,6550.235466674668,6237.544473970376,2753.5834102183126,12009.360199354656,OR
3,56193.23639989344,55898.98967765918,45486.6428521578,68546.88371020899,OR
1,18330.88336553713,18118.75988853664,13044.02952460443,24861.11860536085,PA
2,17006.29072693439,16419.72845383481,8655.009223690717,28598.511204406976,PA
3,124160.44571885739,123252.0401137764,99031.46349021704,154215.1911074036,PA
1,335.96523000216513,319.14478231540534,167.74873304332178,599.3189315109452,RI
2,1033.1491204829622,986.8051753037562,520.7088663233714,1807.8930891785983,RI
3,13301.524230652163,13211.250844038454,10436.572569882232,16699.58653666354,RI
1,5497.781964635604,5248.762670076465,2812.8676990221998,9628.52476894682,SC
2,6043.522000060213,5712.766221515004,2467.6696189217987,11552.101897786048,SC
3,44534.13871712457,43668.818823930036,30469.514102204175,63709.534259689615,SC
1,476.26622993382654,456.079922426601,257.8666090025612,810.0470538715332,SD
2,1809.3968570878324,1736.501214225154,626.8312011622131,3403.152589442278,SD
3,6111.8580121367,6035.628732764379,4019.7800056015185,8646.382994687776,SD
1,5319.989758634731,5166.285522381091,3224.738340131249,8311.450863483653,TN
2,20686.073836640517,20319.60535369806,12726.86678178817,30739.33144816984,TN
3,54598.97695200221,54319.82918488153,42048.491533519526,68843.84631861611,TN
1,64760.757857936915,63631.214509794605,42429.77365925414,93369.08576674115,TX
2,44026.78968242788,43371.295482194386,27182.053114958722,64657.71608872888,TX
3,214229.46540325115,213094.00328122094,170596.97185420437,264614.5819289629,TX
1,1776.2651581268453,1685.4659903155991,941.5372556192557,3129.1576922451372,UT
2,3501.7946453269233,3378.9077583355447,1775.5960293659334,5901.738738063534,UT
3,27405.738047505638,27151.696695841296,21091.711237428302,35151.726887056284,UT
1,9054.31196317407,8788.300189482867,5610.101599326868,14044.2541925283,VA
2,15705.533048224845,15217.009957168699,8234.019897286818,26086.75574528802,VA
3,92896.94159641884,92216.56439907415,73085.29556590985,116467.90696022424,VA
1,215.9379099883269,202.48399537709653,100.62193364053218,407.8176947837271,VT
2,3792.611508497192,3604.0983871136823,1393.2161170772235,7230.426846789466,VT
3,9242.786991309258,9178.3124056175,5653.3329679811395,13238.481536730189,VT
1,8557.401518052538,8380.016726460448,5320.433886367382,12810.64311097556,WA
2,14596.663783089058,14214.924786943619,8266.413756855794,23148.29963897216,WA
3,89919.88301425926,89443.97857483098,72725.70179634371,109993.64660652571,WA
1,5267.989158978716,4972.962581335851,2573.8007973361055,9649.878432417187,WI
2,8921.395393576833,8550.324960110162,3725.252432036018,16141.545526767064,WI
3,52584.92537986846,52087.921453642426,40185.94774309531,67825.34001697012,WI
1,2021.205372384364,1935.3925636391482,1079.0343683048325,3462.793542205535,WV
2,3449.3029586142034,3219.220665992626,1058.346327816298,7075.374714650292,WV
3,16259.757394539141,16061.602083507169,10983.74785085166,22747.192036151206,WV
1,156.6591280968817,146.9749694499662,75.51715939226118,295.0445923946932,WY
2,2281.746212642687,2206.978833130465,742.6925307646972,4269.852947612166,WY
3,4807.083031194141,4725.982610461509,2805.8558497567874,7274.7253161835115,WY
