state,educ,mean,median,q025,q975
IN,2,0.014939458207697003,0.014714701382682167,0.010278852095012852,0.020831057555629265
IN,3,0.019878136032166822,0.019707315338456648,0.014653892858876074,0.026000153281207236
IN,4,0.02092194788676104,0.020160162870988152,0.012363530468669016,0.033784037811578224
KS,1,0.01205356348201149,0.010422033381758082,0.004009388986504717,0.02934689567484111
KS,2,0.01233570361131574,0.01198044511221387,0.0074480021750365985,0.019177164191100778
KS,3,0.017562348764835145,0.017400075261255737,0.012355954392544177,0.023663371623928644
KS,4,0.017737703180520658,0.016933433462247044,0.009068300596432483,0.03087537507959071
KY,1,0.016394234773110684,0.01381347556840271,0.00488760060155261,0.04139613452277005
KY,2,0.015408489179138783,0.014943388628801794,0.009588610696122608,0.023832949820126483
KY,3,0.02121341937699079,0.020900271159062983,0.01435987368262201,0.02976357774023547
KY,4,0.027130889079409744,0.02539597925526177,0.014137099402222705,0.049458621745039205
LA,1,0.01188853927502147,0.01092637600655921,0.004195736516617475,0.024843738009624555
LA,2,0.012642420945483575,0.012224069195523931,0.006889598902214744,0.020807874625955635
LA,3,0.01937215802690054,0.018833661143601497,0.011489778304632842,0.03024506088413334
LA,4,0.017733883988759663,0.01676111666199682,0.00804603831450782,0.033090043979847696
MA,1,0.011429515154513844,0.010147913057038018,0.004687808061417489,0.02565181715070885
MA,2,0.019708529927773756,0.019358899434667072,0.013301422345637371,0.028200240890244446
MA,3,0.02546768285317755,0.025227678244708358,0.018661637107410246,0.03360306784222044
MA,4,0.02101086674339139,0.020414096413078557,0.012889664540401588,0.03253043974441134
MD,1,0.010665914654865698,0.009286374069923626,0.0037901195165345744,0.02573319576948003
MD,2,0.017587099418918103,0.017211427876227748,0.011602443244899716,0.02570093248712996
MD,3,0.021680743686340247,0.021439853761651355,0.01523945419690144,0.029504304204111886
MD,4,0.017214452283101835,0.01649680124801598,0.009375181600987373,0.028949908946768244
ME,1,0.020828850364218096,0.016359802112572465,0.005089095279040613,0.06272371879890126
ME,2,0.017078858134941678,0.016377577630070948,0.008533077723848191,0.02960008186585292
ME,3,0.02578207169172949,0.025337821619604496,0.015172577962370164,0.038845142843154025
ME,4,0.031755650326398634,0.029725439623792323,0.012830331525817995,0.061803548025528295
MI,1,0.01064549003424808,0.009585985125260292,0.004470022345413345,0.022804684865435573
MI,2,0.014320733568345224,0.0141221451614474,0.010011690420452368,0.01979040301896031
MI,3,0.01856374209820867,0.018446022135647028,0.014093665364018359,0.0236922993703738
MI,4,0.01968313016111596,0.019133717069694613,0.011962598016494129,0.03047255153410157
MN,1,0.011723489841814054,0.010153875167133158,0.004457532185634934,0.02806638495765617
MN,2,0.014976141167034293,0.01466979302271573,0.010020126960291765,0.02164271602270283
MN,3,0.018591254221508726,0.0185147146616335,0.014213179385426905,0.02342924103643157
MN,4,0.024233730487328485,0.023635775689958734,0.014696394366519807,0.036974635952673654
MO,1,0.014317150431663749,0.012282447914240876,0.004956963741505421,0.034744705038391874
MO,2,0.015560415739302166,0.015263968335907992,0.010482868099380292,0.022249801023231684
MO,3,0.02007399211424729,0.01993080781606689,0.014870401835401158,0.02612412885649247
MO,4,0.022138196798117227,0.021326099319768085,0.013020069165065014,0.035832830250127914
MS,1,0.014097863449103952,0.01162434408367522,0.0035875805723065944,0.03759229302722306
MS,2,0.011722445849723472,0.011123959190464782,0.006007766698714108,0.020716064247272185
MS,3,0.016542732539734838,0.01625452395461232,0.009602815063145066,0.025067557868947127
MS,4,0.022667138951575457,0.020360447409766433,0.008133322834281273,0.049906087481876485
MT,1,0.015481695943793788,0.011703938609356573,0.0032628274451173456,0.04952964305657037
MT,2,0.01147753828567244,0.010861273425102676,0.005386768135728955,0.020977264390222038
MT,3,0.0163671144252727,0.016152486207311727,0.0095040215246739,0.02449682132029882
MT,4,0.021334419665665957,0.019445314681756372,0.007859051028403702,0.044959677546731636
NC,1,0.012200790289389635,0.010797610734922292,0.004638095658272638,0.027419479769292307
NC,2,0.013629421102730455,0.013302671958679627,0.008752589605149866,0.02037375050645893
NC,3,0.018261777363710652,0.018065327815974613,0.01305921391538927,0.024546429250590772
NC,4,0.02122532640903559,0.02051618107531333,0.012622662830182143,0.03376604961622419
ND,1,0.014432221685489412,0.011676822637226386,0.0036563931918922963,0.04108732212081667
ND,2,0.012601829134263122,0.012059964307634969,0.00618687243796729,0.0221022237905549
ND,3,0.01990902062754008,0.019437067862993717,0.012069435793749042,0.03048123389845972
ND,4,0.022252104101667322,0.020757094226134018,0.009198964023178074,0.043619318720464734
NE,1,0.013662233559539144,0.01160178922228758,0.003920530306836017,0.03500117179477221
NE,2,0.011866487901968517,0.0113903182406531,0.00592211300643261,0.020557701449711124
NE,3,0.017543013680861176,0.01723709623582462,0.010748002584143199,0.02605003257121761
NE,4,0.01914421405341786,0.017976072750773363,0.008156713699219078,0.036728526017561366
NH,1,0.017694365527316104,0.014305845806338542,0.005127281203436859,0.05037134561181693
NH,2,0.016617777594954045,0.01599327136024629,0.009716671565716825,0.026967367921297315
NH,3,0.02300666486520368,0.022745201376222907,0.015148750332633317,0.03243047688225352
NH,4,0.028062389444394376,0.02654669586762351,0.012196279000157104,0.051997933608959906
NJ,1,0.008755972747751655,0.007615088204651647,0.003300065795709351,0.020910232833473215
NJ,2,0.01643190159397819,0.016118699148412147,0.010926564275120804,0.023745493150018303
NJ,3,0.020077847603200624,0.019868526421097397,0.014497771891028643,0.02687159252963518
NJ,4,0.016488962304361518,0.015843745379104768,0.009456084968898156,0.027092314268352197
NM,1,0.014995274434450949,0.013360467310968058,0.004771335394818229,0.03391029110223045
NM,2,0.014681304448105134,0.014132091338478463,0.007614042692772463,0.024924361560843905
NM,3,0.02285816989694262,0.022340694485908585,0.013690817984379435,0.03492069309582065
NM,4,0.023473010272878948,0.02232246389996173,0.010674716025958781,0.04272391473797503
NV,1,0.009308728894978156,0.008717035556177281,0.004114158241873799,0.017947374324275976
NV,2,0.01792210616848026,0.017573078970135228,0.011370075429543885,0.026482741576013245
NV,3,0.019234088160070155,0.019024885441961722,0.013614768109687005,0.026003086696205772
NV,4,0.025476544019821,0.024698590621950865,0.014613675701752621,0.04073899858790356
NY,1,0.010304531245048541,0.00973996207134025,0.004883376809033401,0.019003545469657553
NY,2,0.018788324771316516,0.018522464115527697,0.01312252788624156,0.025895249400395236
NY,3,0.021829223213917785,0.02166241515899637,0.01647574532629891,0.02804655674296235
NY,4,0.02657360235373506,0.02612228769809953,0.017233416046782503,0.03829154164157967
OH,1,0.012179664292067268,0.010880327502640518,0.005008673327452369,0.026676381996600447
OH,2,0.015135839877331208,0.01493281836879334,0.010545639041736055,0.02089758270893483
OH,3,0.0191784725158752,0.019027080887254237,0.014301229168813033,0.02489017854925205
OH,4,0.02212703285817339,0.021524994194362213,0.01367414600515965,0.03402319064513875
OK,1,0.013733463386910985,0.011523418067782634,0.0043402929208469915,0.03505166608008049
OK,2,0.015561016869140376,0.015127873993493237,0.00988298836567882,0.023605866612161908
OK,3,0.01885357340946732,0.018654531328952145,0.013020727429996395,0.025727342439180324
OK,4,0.02809937311629586,0.02652998756285572,0.014621167792630728,0.05031771565397131
OR,1,0.014459283971317837,0.01285491905904352,0.005800418713077634,0.03206572515731329
OR,2,0.017834474937556993,0.017495275424962934,0.012030476161202428,0.02557231956515115
OR,3,0.023146981069081887,0.0230104433624089,0.017678384951844744,0.02941168541071326
OR,4,0.026658705025316417,0.026005749119453407,0.016623797241510512,0.04025943913620953
PA,1,0.011310431269094574,0.010389494092464991,0.005021219794745587,0.022837864447363496
PA,2,0.014943439087842628,0.01476271879324222,0.01063200379944222,0.020230293906324335
PA,3,0.019560284696646703,0.01939564609462603,0.014730494052492103,0.025295110532449868
PA,4,0.020034041373876727,0.01962948898643029,0.012817982183011865,0.029463203524029057
RI,1,0.00826291878160132,0.0075652644225818536,0.0032185208480281263,0.017209555419170176
RI,2,0.019075551190081183,0.018761118847164738,0.012603318362815287,0.027377264368294598
RI,3,0.020351321873786538,0.020156765385861173,0.01470849220881913,0.027115483836529668
RI,4,0.02136412825771086,0.02080750953529579,0.012444483655068448,0.033428500758695745
SC,1,0.011358624774262803,0.010348403000908621,0.004147005298113,0.02408542098802204
SC,2,0.01217305547764681,0.011797485769976322,0.007010213005735576,0.019536948498804496
SC,3,0.018092229939317875,0.01766940795381775,0.011533242053942856,0.027074633960538875
SC,4,0.016525473117165616,0.015744385191580706,0.008076145649523976,0.029378148088833864
SD,1,0.013673821675787085,0.010641787976542957,0.003004685608345855,0.041431619054957444
SD,2,0.010353527688372565,0.009803412189935669,0.004808120071176542,0.018938648385456877
SD,3,0.014937203713904366,0.014737285700363922,0.008584689701696123,0.02250694777156513
SD,4,0.021087460294231388,0.01900204966193513,0.0073136635049217,0.04601916418433565
TN,1,0.012862531849141703,0.011258775457186971,0.004789140632892821,0.02951060490250883
TN,2,0.014088042097602636,0.01382647174154941,0.009432631273739,0.020213429317604125
TN,3,0.018256640784210205,0.01807994175244225,0.013307517318440895,0.024167411882271398
TN,4,0.021648500825093394,0.020889450953758586,0.01305213094598006,0.034521233885683754
TX,1,0.009266696111947562,0.008840794620277315,0.00458782323309224,0.016286896907600396
TX,2,0.015533309020468377,0.015325464000777202,0.010858552306615794,0.021365750327143548
TX,3,0.018172257485178953,0.018052549604875,0.013947685414841529,0.023034250541008116
TX,4,0.02223262363858061,0.021735163026581836,0.013769160192284276,0.03342650437503623
UT,1,0.009732751225447643,0.008923276775863022,0.004168521675817916,0.019997452058366786
UT,2,0.014263806840451376,0.014012020182438762,0.009292798727236382,0.020696224094926392
UT,3,0.016804100896631802,0.016610053611711157,0.012199830031813358,0.022447368629128026
UT,4,0.021217923444822342,0.020725003775980973,0.012657520381544688,0.03250545568182175
VA,1,0.012826534426969806,0.01155652789545095,0.004671347953897113,0.027919845839876244
VA,2,0.016747604783214923,0.016458415272918997,0.011270481406011008,0.023840999347379207
VA,3,0.02249458573482942,0.02229819792909909,0.016460549231937835,0.029652086231799112
VA,4,0.019524058217427104,0.018864292285286584,0.011093304234724495,0.031648298423394505
VT,1,0.027091447320472934,0.019235606261567773,0.004823840675298068,0.0952115501534075
VT,2,0.018970785987962736,0.01735974839330783,0.007543935631285936,0.039287316177438816
VT,3,0.02833067647298011,0.02765957967523311,0.013651587515883001,0.0467240589909379
VT,4,0.04453548591878492,0.04150803265045601,0.014591208738912795,0.0902986436440641
WA,1,0.01153595893519663,0.010754095966271523,0.005329958995441001,0.022078561270949225
WA,2,0.01741320611458114,0.017176586053621924,0.012193107478964342,0.02390672116795453
WA,3,0.02196687140753107,0.02183647907883874,0.01703193891539408,0.02765435799738795
WA,4,0.026867993750219758,0.026444777884041946,0.017244870002048874,0.038854721194702985
WI,1,0.01183695864112168,0.010142401987514647,0.004368137181560876,0.02917220557959394
WI,2,0.01305178731742209,0.012759691408991844,0.008334134911068056,0.01942563124153453
WI,3,0.018018849422521247,0.0178118023898671,0.012704742160742721,0.024504171636386327
WI,4,0.020466157644093305,0.01956489306134733,0.011411635552320075,0.03464696890997639
WV,1,0.01451450831691373,0.012262834960577045,0.00414089438259342,0.037192466991068984
WV,2,0.012913430909488155,0.012531240862976792,0.007004975609467536,0.020941169227918346
WV,3,0.020250564949863145,0.01982740510928451,0.01175210717346861,0.031079707433796105
WV,4,0.024715946440251137,0.022821384913814746,0.01028085541257108,0.049482014042839244
WY,1,0.01774240942758777,0.01281083159680164,0.0031628396940394585,0.06081029282414204
WY,2,0.012664816635939736,0.011677262180071812,0.005064340132047058,0.02580487224144134
WY,3,0.018254932598535337,0.017940181617693056,0.009010202704642622,0.029421741810456405
WY,4,0.03309553949907008,0.029719211385335002,0.009057390345418973,0.07551077393904539
