income,mean,median,q025,q975,state
2,2955.4870574771453,2789.573538226659,1191.2073994343148,5629.834042536825,ID
3,6880.075498236183,6702.22138193702,3813.89987604648,10963.13923409617,ID
4,5187.141710846585,4983.066746275243,2336.9292712027946,9208.271811282417,ID
1,19864.445682711248,19286.066590981423,11686.768059506572,31186.547157798053,IL
2,21873.11810612674,21204.634477970016,11789.868728905883,35598.00056214091,IL
3,57168.90557660535,56640.43059216491,40263.505609040556,77227.37410599149,IL
4,57161.82562931421,56521.36161790378,38423.87639716869,79436.9783316443,IL
1,12001.304837172742,11641.084675824317,6935.849958397297,19150.56938477028,IN
2,13647.663921499718,13181.115258097998,7248.265574030424,22531.249915757402,IN
3,31273.128987352127,30953.026735667823,21894.657863248252,42355.86302321107,IN
4,23567.8009747347,23096.190364970884,14760.085013366232,34865.03568764944,IN
1,4457.315898712181,4284.391515047266,2322.6361989995494,7596.602760727841,KS
2,5099.697276906383,4853.121325690601,2342.482694938959,9145.704572216508,KS
3,11250.925523186073,11085.833830527761,7155.084736097774,16236.508906168681,KS
4,9739.009171279396,9490.8332786322,5769.913887611058,14971.981561242845,KS
1,9363.573643005362,9012.43951979567,5276.053156535379,15425.129797345498,KY
2,12322.820409174523,11698.395116311312,5615.2805445209415,22290.45299658061,KY
3,22369.598314501152,21965.4905500705,14420.279032997189,32480.287626914615,KY
4,15715.407396020437,14943.965225092059,8791.33262572724,26490.163127393673,KY
1,15145.392185104754,14462.9598538865,7300.764427437257,26982.252290328353,LA
2,8646.10729911206,8270.277248624443,3824.7531149080123,15694.201412290928,LA
3,15181.462452332924,14645.507071331482,8206.058267985214,25272.802458294835,LA
4,10920.819017493883,10364.590289918462,4771.221376726595,20331.88620075791,LA
1,16023.640533807991,15361.477381233242,8769.643717239438,27006.212224921106,MA
2,10931.24600076597,10298.107481990835,5495.836781508958,19978.598259011833,MA
3,31343.693556127586,30768.23743229461,20507.825194950045,45294.28441119057,MA
4,50471.52490314934,49898.657169393264,34224.32049983842,69919.72947063367,MA
1,7937.004264755592,7376.078550056784,3940.03734683408,15147.743137395046,MD
2,8234.854437370961,7703.3529343881755,3904.98814462085,15689.943408971734,MD
3,25667.645245383654,25108.917834225787,16095.012888125766,38384.380833919866,MD
