state,ethn,mean,median,q025,q975
MA,1,0.029253450643189034,0.028355616772701972,0.017750827615006442,0.04579459843084991
MA,2,0.03236869402230979,0.03214506512875255,0.02544625238980531,0.040588727628517035
MD,1,0.025324701644894535,0.024034911235420828,0.012451828292455195,0.04533062060319777
MD,2,0.027066754979737158,0.026858031097325145,0.021046364666429954,0.03432167722155248
ME,1,0.007400243661871541,0.006319913105215059,0.002496359204481116,0.018730024003104417
ME,2,0.036272333732164215,0.035734346249149174,0.026589043666318715,0.04893895785075202
MI,1,0.019260232317763505,0.018735377236449677,0.011543278540426924,0.029792970403398792
MI,2,0.023967299496713678,0.0238383701976778,0.019883252897686006,0.028790397450401135
MN,1,0.026519043770187583,0.025698602402398005,0.01527717293382896,0.042378309336508144
MN,2,0.024601714192690877,0.02450864134106566,0.02069869588689652,0.02899523922020378
MO,1,0.022593811590177093,0.021969570166284202,0.013502048614707718,0.03510153949171092
MO,2,0.02589550446588223,0.025789634043463114,0.02164611408263666,0.030750237344590182
MS,1,0.006034751298663807,0.005587661265351683,0.002928811878125569,0.011752724788966868
MS,2,0.021845999485554216,0.0216519523827423,0.01707057312066211,0.027692427726961965
MT,1,0.0042464248936955815,0.0036559025763101107,0.0014814949414672627,0.010537464750273647
MT,2,0.022282598732932337,0.021991948254541673,0.01658062171961886,0.029562974716149572
NC,1,0.015085077212512694,0.014715470431713503,0.009312815308901672,0.022886381553366794
NC,2,0.024915023347449147,0.024661926781635646,0.01984773695522753,0.03141741264618427
ND,1,0.004757166058493661,0.004047440095453601,0.0015834923852397682,0.012095698834650196
ND,2,0.023880560711905724,0.023333305239219622,0.0163881708705589,0.03441591130615945
NE,1,0.005136264033833007,0.004487888555872024,0.0018443276242575053,0.012223987114235595
NE,2,0.023377697527092997,0.02296637053865696,0.016829802871553723,0.032121330118966965
NH,1,0.012300474757156787,0.011500677867108764,0.005816944295259969,0.023255023845075874
NH,2,0.032811656257369405,0.032587088739006766,0.026086741435981425,0.04080316548236827
NJ,1,0.024707322238009116,0.02403600944910897,0.015287539389697362,0.0378116093481596
NJ,2,0.024861739594936663,0.02466503282667081,0.018893549136483563,0.031958196022375665
NM,1,0.009722611434192873,0.008908684876357063,0.003816558529649194,0.02026257746620562
NM,2,0.04438717596522181,0.04348822983928144,0.03035296462619732,0.06343799863992426
NV,1,0.02795670878397146,0.02743977489497397,0.016835774589055982,0.041986608049610394
NV,2,0.02435894481370503,0.024130430394875446,0.017819330288131825,0.03219033263721777
NY,1,0.03396275389952081,0.033355754477498126,0.021501196977817674,0.04976974505650607
NY,2,0.028693148806406724,0.02853819051924599,0.023193451997676206,0.035072160227219894
OH,1,0.023361313787242696,0.022626409664171957,0.01359743286787686,0.03711264695225467
OH,2,0.024854735400741915,0.024714477540358833,0.020583446311354368,0.02993368939180127
OK,1,0.022963784035653044,0.02240814321684092,0.013726786853464451,0.03526031997448829
OK,2,0.024412947580269934,0.02431207732966925,0.020258487942669573,0.029123029172543512
OR,1,0.023258276597683408,0.022737971514640184,0.014513515084385182,0.03474562497030268
OR,2,0.03257145396511967,0.032400153342124725,0.02678852360148378,0.03926546928012891
PA,1,0.018661971773157954,0.0182129770299906,0.011407747416854226,0.028377628736724253
PA,2,0.025642031620922694,0.025477660540428382,0.02107109386867956,0.031155647954355988
RI,1,0.03630975430202573,0.035480403438082106,0.021370754290244244,0.0558609049482972
RI,2,0.025505574688148864,0.02532185791210101,0.01944223900835912,0.03267177693773871
SC,1,0.007164769447982669,0.0063786949948743425,0.002914858853407706,0.015994177299717197
SC,2,0.023516251211420144,0.023038797160476916,0.016518145332626244,0.03312932198026026
SD,1,0.00351619432298986,0.003039802022017409,0.0012807895140172566,0.008568097526965267
SD,2,0.019287147140957958,0.019049239808753206,0.014374063479241982,0.025527057906839967
TN,1,0.02128316549913924,0.020745713261104946,0.012775920549301637,0.032788857259068854
TN,2,0.023818209546989964,0.02367234412033501,0.019607344719722863,0.02887780659124873
TX,1,0.020431594009360673,0.02021319036474542,0.014398630177898709,0.02760304968497733
TX,2,0.022951738807126604,0.022813849569807202,0.018248679896064556,0.02845725778912626
UT,1,0.019265705225051475,0.018784801705322915,0.011116220381242178,0.030185454565155055
UT,2,0.019540991186448222,0.019334788390879702,0.014996919016021766,0.025259336674189028
VA,1,0.02514641990738474,0.023879567444913985,0.012709237405389665,0.044651875303165736
VA,2,0.02788353516103637,0.02771401976024942,0.022356759406125082,0.03439493797225319
VT,1,0.0058098558850721085,0.005202684041963815,0.002641724671318888,0.012607859116160828
VT,2,0.04243444142210956,0.04203384405497726,0.032207593918621144,0.05492460722030373
WA,1,0.022745287770073747,0.02222822035623226,0.01401700931687657,0.0342619135991037
WA,2,0.03023197143177617,0.030074263565620867,0.02485873011606574,0.03646588293110958
WI,1,0.01612252856584172,0.015719695755786637,0.009675286279749085,0.024818154055945
WI,2,0.02333916177974519,0.023076709311397922,0.018385707654671332,0.029780553931587784
WV,1,0.007421793182489694,0.006736728416594761,0.0032875623384445753,0.015564262509552469
WV,2,0.024945498564752516,0.024598592602220727,0.018483573538653406,0.03332701367231223
WY,1,0.004024404041725364,0.0035723283297058213,0.0017257106360312768,0.009012283716081914
WY,2,0.02697189053060921,0.02660104683052867,0.019811149734999835,0.03612896046580749
