state,race,mean,median,q025,q975
IL,2,0.01276156086644205,0.012479522542642552,0.006955960375758518,0.020077798716306338
IL,3,0.03687554790264195,0.03670540063459615,0.029957214067546714,0.04477658298588127
IN,1,0.0064237504478255915,0.006315698554010334,0.004215831642499827,0.009277501646228741
IN,2,0.01048349948871446,0.010210944332687336,0.005591784913729314,0.01674659498174601
IN,3,0.01691440798859249,0.01680783510437003,0.013200989282623756,0.02127998062843232
KS,1,0.002542035448651803,0.0024551291849760626,0.0015103109288225564,0.004073105427977561
KS,2,0.0034753586145872613,0.0032983372075707667,0.00135398248137958,0.006505591553029444
KS,3,0.007847110394852518,0.007784531770604694,0.005912190216659347,0.010144295917521117
KY,1,0.013105869678133297,0.012817910741544428,0.008285841492250546,0.019592463617655317
KY,2,0.03485918301335184,0.033273532263460574,0.01570271626205573,0.061936523835270964
KY,3,0.024397855143454834,0.02428689552245298,0.018124125313097393,0.03133585513163586
LA,1,0.006116392493378706,0.005707016699036236,0.002746366193526207,0.0117831246772218
LA,2,0.009554009121737452,0.008999649008786479,0.0034305192933890352,0.018839603542947003
LA,3,0.02048551528576939,0.020005438214310597,0.013253450475790896,0.03040945356197104
MA,1,0.21921616652043371,0.21055753826990853,0.11629641429106558,0.3711542283240094
MA,2,0.15398960153478433,0.14954055866615668,0.08515720238027771,0.24859874455347744
MA,3,0.3347772142700184,0.33241965744426627,0.2593692240315733,0.4233205339262464
MD,1,0.008191494783219542,0.007794558301761229,0.004119582944473611,0.014522035936908708
MD,2,0.007696908382586287,0.007258147783707916,0.003558436204409132,0.01431065956945784
MD,3,0.051021028595332585,0.050610862035429846,0.03959596478300393,0.0647881560370865
ME,1,0.025149516765857256,0.023840491590586273,0.012616661685879878,0.04535778372106996
ME,2,0.13552618699833882,0.12447134093557617,0.039693994312974205,0.28873667824961524
ME,3,0.09187570429054019,0.09054797110120791,0.06274453965277899,0.12843045400250283
MI,1,0.025777539411537227,0.0253723679785567,0.01723772020035841,0.03664189793545248
MI,2,0.012151052475669335,0.011842976641630448,0.006540515752190545,0.019400236000539316
MI,3,0.030493995884061913,0.03033538493330168,0.024330604501455296,0.037560869841432705
MN,1,0.013002525972207591,0.012685421484621776,0.008334990453362143,0.01949384693743273
MN,2,0.024291008321982995,0.023585700686956937,0.012541254011285297,0.03975769379464847
MN,3,0.026492178554688522,0.02639752279060979,0.02147426795994996,0.03205992509957423
MO,1,0.00868777973883635,0.00855105719213588,0.005678555004526663,0.0125267305766547
MO,2,0.008051380307657022,0.007804507326483336,0.0041359996016489715,0.013236646750589868
MO,3,0.01193676779637126,0.011894463882333017,0.009373863202670132,0.014775951496944136
MS,1,0.007757773429915973,0.007394781010130143,0.00409450393758966,0.013442167063140874
MS,2,0.012756298419047353,0.012059863250033467,0.003979097542847722,0.025104715376519496
MS,3,0.009284567458845826,0.009239597527206708,0.0061570689118687115,0.0127732730058991
MT,1,0.006751417652053276,0.006471822738957793,0.0036171017408798333,0.011487449626133465
MT,2,0.006089824410953456,0.005449420977842689,0.0014470708141458345,0.014031281674574575
MT,3,0.006342997777212264,0.006283922043774577,0.00423319332816494,0.008803196712421473
NC,1,0.011943572920700333,0.011705550061912606,0.007946673751819322,0.017261624161671527
NC,2,0.00994181918428663,0.00966627873941728,0.005100670848231387,0.016227903364034707
NC,3,0.018906817640632092,0.018709792444900605,0.014129289077685316,0.024835899623717756
ND,1,0.0011852487149408564,0.0011109760929524952,0.000566274783554798,0.002234172337629097
ND,2,0.004373597586267811,0.004164612322944116,0.0017233770405111236,0.008225842888670003
ND,3,0.004153373450206274,0.004052217806566677,0.0025687907122475973,0.006315419481901391
NE,1,0.0027586653664594036,0.002616351594574593,0.0013008426033398162,0.005035853120777011
NE,2,0.0009459662600907075,0.0008940864443475571,0.0002838527411270931,0.001874882673828254
NE,3,0.003908260545576036,0.003840973107814787,0.002582469570712268,0.005606180896321641
NH,1,0.06411378110272493,0.062263519985387504,0.03748265093657063,0.10169220182889639
NH,2,0.2039412757469931,0.19448599275244793,0.06410296304288547,0.39556956562940637
NH,3,0.14162824177195932,0.14057693899092105,0.10434370636470826,0.18477364160245074
NJ,1,0.02442043754717871,0.023709220555038688,0.014287821183691452,0.03861429459767572
NJ,2,0.013112744878478862,0.012512927782140686,0.006607785256737776,0.023174437072842217
NJ,3,0.03971168344256715,0.03942392802214713,0.03100802509740947,0.05004891327558461
NM,1,0.022390272522551585,0.020864907019478924,0.010493371940259835,0.0426805035647951
NM,2,0.028150817859158864,0.02603642564097336,0.008498770347866022,0.05897306981434321
NM,3,0.047740096339770714,0.04675107649622413,0.03169363763095209,0.06919234899957576
NV,1,0.03427821995332587,0.03269269112276271,0.016364692430852326,0.06126400325098008
NV,2,0.03824327293991343,0.0366689969172981,0.019007237491841387,0.06671162996110945
NV,3,0.06423885248792466,0.06371415971337821,0.048823596475744115,0.08266346947279303
NY,1,0.09859047499043458,0.09668273866475864,0.06138730997466127,0.1464525053182038
NY,2,0.07243481959776386,0.07097319676796364,0.044405797441449374,0.10888387307992636
NY,3,0.19326134291572183,0.19209875124504028,0.1562108147385283,0.23674560799407274
OH,1,0.045057974217363114,0.0445929035007412,0.03143717340432446,0.06145473286628345
OH,2,0.018846707331936892,0.018319584300213562,0.009918722434309248,0.030535623672508734
OH,3,0.029174577706768855,0.028990460657552578,0.02278189461658251,0.03671545087901916
OK,1,0.006680497400599319,0.00653423536046194,0.004178035899499009,0.01003027671391495
OK,2,0.004706243203029032,0.004468633912866144,0.002006486645672759,0.008618971017099379
OK,3,0.00973618577958449,0.009715122608893137,0.007480496147654535,0.012149623073558226
OR,1,0.04923270972206759,0.047778905403139456,0.029827321823928957,0.07689868389096684
OR,2,0.09967770641576817,0.09475197758704672,0.04207137232391098,0.1821158260118158
