county_index,ethn,mean,median,q025,q975
55,2,0.02850713486601198,0.027208006713292085,0.017766284519199396,0.04678174407910178
56,1,0.002658880011853338,0.002413273660998975,0.001158091836015726,0.005613233823492572
56,2,0.038231696466312866,0.03546565517028709,0.020722153623530058,0.0715173704601202
57,1,0.006587855098189576,0.005284850704222532,0.0014408896884454813,0.01951403629614103
57,2,0.023023312893984668,0.02121916471973406,0.011192340996007499,0.045402626912231764
58,1,0.019277267714623098,0.01728770918998472,0.00683591287953829,0.04318354588122874
58,2,0.02004888676732803,0.01926361433490586,0.012979306504074936,0.03174163471206305
59,1,0.01879333118614263,0.017280027808847624,0.007270733195572316,0.038967235532803096
59,2,0.01970314014237874,0.0194189284454048,0.01383232071244226,0.027275109045952803
60,1,0.0011139965469611484,0.00106652284009748,0.0006032476554004695,0.0019029115137921893
60,2,0.016018905355427198,0.01582232478003953,0.011576313260125363,0.021585969954335336
61,1,0.002009845817331698,0.0018868075315787258,0.001000163070363816,0.0037229467940186668
61,2,0.028901919081232227,0.02785714189095309,0.01846583983778667,0.045355557809561076
62,1,0.0020143901577539063,0.0018801141255453103,0.0009737715678158226,0.0038346688809572163
62,2,0.02897966544809678,0.027676211289849352,0.017940136711635253,0.04776205902165173
63,1,0.00668657340702343,0.0055395909524880715,0.0016056669266398215,0.018467811375087066
63,2,0.023364333906225093,0.0224782068643335,0.013192367395166802,0.038520057953633884
64,1,0.020924455786734283,0.018925495344609713,0.007679364632604648,0.04529880651492181
64,2,0.021818574117643486,0.021241721853820034,0.014522114040331938,0.03242681338726995
65,1,0.0018525955269406388,0.0016184309491602423,0.0007934716105112814,0.004310768267676344
65,2,0.026606000048112064,0.023536374863341522,0.01451508950852543,0.05726878710875658
66,1,0.001792677532791154,0.0015274151880088115,0.0007443479252608073,0.004505980741770643
66,2,0.02586828028130672,0.022148611683352488,0.013494801450584442,0.0609704607243106
67,1,0.0028864294690119727,0.0025931244643838548,0.001212149948207603,0.0062690508861150025
67,2,0.04151343309818606,0.038123273187776766,0.02158324727223191,0.08132094363017937
68,1,0.0022400607480903985,0.0019935123995299467,0.0009266236627127583,0.005025053927965297
68,2,0.032234959995044485,0.029280098597763173,0.016432489670354846,0.06606590562047743
69,1,0.0014510735280415152,0.0013423637684126743,0.0007443420866258213,0.0027290215541141793
69,2,0.020874186127959455,0.019748858099631242,0.014113507498896945,0.034299248538167355
70,1,0.006175792353314729,0.005141209622439518,0.0014966283912447797,0.016938705002396533
70,2,0.02166421908670309,0.020832452044685236,0.012146413240181278,0.0359233611725167
71,1,0.0009456862977464768,0.0008957156990062832,0.0005042757887433497,0.0016544990455842022
71,2,0.013599164522193492,0.013243972034026578,0.009682539096522086,0.01926715315891558
72,1,0.001853562125802586,0.001335726471916816,0.000635098338694157,0.006394479014254071
72,2,0.026693243268187717,0.019301977708999447,0.011338500130940605,0.08940175544984448
73,1,0.0017494144517949922,0.0015523595196890818,0.0007552268672314689,0.003929920140781321
73,2,0.0251629678059422,0.022676433954465128,0.013682943927151709,0.05167109940891848
74,1,0.0014022327014856376,0.0012248298249941413,0.0006482948793478485,0.003121731899659428
74,2,0.02017042213174541,0.01787843626765539,0.012081141945265004,0.04221239898916749
75,1,0.002827121976266742,0.0021309308630307446,0.0006650472396660201,0.009369730135258277
75,2,0.04069032455956334,0.03135133270030634,0.010934841591987838,0.128989420219787
