educ,mean,median,q025,q975,state
4,6985.087296089075,6574.973721945722,2952.906203103456,13242.001068470352,HI
1,4184.508561591861,3424.294445556096,1106.1706733359097,11685.72108119529,IA
2,16076.064740754693,15454.998613980002,8008.001770109153,27534.700530655646,IA
3,41615.99101832831,41002.84224185241,25179.885644932652,61730.85772483179,IA
4,9321.723614542096,8639.248052887255,3857.4768853207947,18511.029560730272,IA
1,2295.2782041151063,1970.483302849197,677.537000848782,5753.680211504094,ID
2,6814.6146413861225,6542.430657336274,3484.2016697401605,11638.963631774794,ID
3,21900.099282847303,21465.967897879644,13444.416964401153,32889.66809787666,ID
4,4654.026847663017,4352.6379772197415,1942.1287643646365,8979.60011400187,ID
1,17157.983019742896,15961.917076344409,7649.359678369505,33373.30086055462,IL
2,71339.00745541068,70416.04017040366,49905.8211933865,97878.41404754113,IL
3,164796.85341342742,163821.53672863336,126516.10989677956,208310.5272310252,IL
4,58280.02328186037,57158.45370701284,36762.31418118168,86231.81670586216,IL
1,11210.069110949615,10032.846488996825,4441.198057023459,24521.03334725081,IN
2,44681.930615051184,44022.280517244144,30800.30838789798,62254.20156038002,IN
3,84852.5185678583,84117.5911834204,62619.16362202119,111134.51734240039,IN
4,19940.45209271377,19190.076781293297,11804.540443328102,32278.438733877072,IN
1,3772.670622376007,3267.4632894112565,1250.4201228086827,9198.749461478326,KS
2,12219.929561153822,11868.761588780028,7387.045320200887,19008.6412545026,KS
3,35997.241642681955,35690.820954427065,25273.59905517109,48600.84240933204,KS
4,8994.816527849904,8561.330594389741,4618.397996184214,15661.07144457552,KS
1,11564.875597053993,9770.70090380124,3435.4878398666715,29169.51210737869,KY
2,31038.18887483616,30093.393244541592,19254.316046097403,47995.82647796568,KY
3,58270.54866250757,57411.828404824715,39372.28121041176,81938.47885654676,KY
4,18459.327213058332,17276.043557709785,9645.254760569673,33720.10667575363,KY
1,9667.290195640275,8891.44842742703,3415.027447385105,20236.913326452905,LA
2,25591.55522973659,24729.59196024399,13935.982456002188,42106.08944968012,LA
3,53541.287047070524,52123.92124180161,31759.14081621207,83767.22016251412,LA
4,10757.723290230737,10165.3570818252,4900.584467042593,20003.59040356179,LA
1,9715.366272804265,8627.702988793963,3985.406274447755,21899.544588703353,MA
2,44440.293555190074,43674.073711604404,29945.41070750792,63364.82467917898,MA
3,118703.01229919666,117599.6435344395,86978.9665211477,156642.13904485182,MA
4,44285.95402700432,43061.73718704874,27194.129723366703,68516.74404124176,MA
1,8162.397653728673,7092.816589537404,2889.6440343160493,19636.96623758216,MD
2,35596.690673184,34866.82434072309,23517.326694195584,51996.27250233648,MD
3,87021.33943963487,86004.22066533125,61403.74353390917,118455.76312952433,MD
4,29750.43192728345,28525.635135220695,16216.698758662342,50231.186177911775,MD
1,2331.824863773742,1836.3863262709147,567.7890768023548,7013.922955825581,ME
2,10615.349123870057,10176.456625153482,5273.738630613268,18371.05842744987,ME
3,26454.213733891254,26014.698457951556,15539.994730697304,39963.107041570736,ME
4,8595.606741874883,8033.329818666338,3483.445245005888,16721.826281204896,ME
1,12023.957189107894,10829.400091167681,5063.499687990569,25795.272453508533,MI
2,56236.10489505885,55440.27508905293,39294.66599815613,77547.72160780094,MI
3,132170.31404266512,131344.0748962093,100247.63685367338,168818.2112335868,MI
4,34157.936844474665,33165.09473202651,20773.05409541638,52896.46372544358,MI
1,5620.603821982221,4880.766685255518,2131.3771413833765,13475.559342503455,MN
2,27455.53641330232,26902.185959437047,18356.46577892616,39630.96061233523,MN
3,82087.81648611563,81725.40787017011,62700.76182165913,103422.7650905758,MN
4,25572.753686456013,24926.932928470324,15495.973012964385,39177.4577088928,MN
1,10153.610206497482,8737.072678900582,3491.3923344294335,24588.9714401758,MO
2,39814.08419350872,39074.48064279389,26880.47571299148,56865.49032590747,MO
3,82621.840704304,81998.00445347381,61042.406962208304,107665.02651531708,MO
4,22998.06913635004,22124.867522590444,13548.304182324575,37314.66442868882,MO
1,7419.80097760082,6129.080433607117,1869.4169441582158,19783.131545331384,MS
2,13832.83077438102,13138.710435561323,7046.366971490666,24444.805262008278,MS
3,30731.54341811569,30204.790282316993,17779.68249681324,46699.380740826324,MS
4,8405.921088878617,7525.992684149427,3033.227703375436,18532.23766069842,MS
1,1294.2471827359348,981.0023851871769,269.96663415464843,4143.1113308854765,MT
2,4941.31822915619,4679.82509227485,2309.3909854098633,9052.767000096732,MT
3,13818.542023883367,13635.957024713698,8025.1080770100425,20709.58525485193,MT
4,3838.7098109183985,3492.6018791040315,1421.9815451349016,8129.337599546632,MT
1,18158.29042908349,16093.808024560682,6872.139186671697,40781.47117785757,NC
2,49411.68115738902,48208.575962317016,31686.477862625023,74021.8305187412,NC
3,137149.47925003065,135744.95645075475,98121.85156836927,184470.59752608946,NC
4,39756.62064607692,38388.04492632738,23636.278251519383,63314.26156844317,NC
1,904.4176821000534,732.2992600549453,226.34583073250948,2560.572537262671,ND
2,3296.822106612746,3153.193267698152,1611.4954148348831,5788.2741733439825,ND
3,11814.790432037396,11534.932739991822,7156.66397622131,18114.66225144142,ND
4,2174.517948726052,2027.2069891877468,906.9396790263992,4258.3088950515785,ND
1,2790.705296918993,2378.5343272736627,800.5940513375183,7143.152826343255,NE
2,7705.274368898804,7380.245377333133,3828.39459580925,13350.235504321532,NE
3,24821.763423288256,24399.194854312,15208.376705782386,36933.62811620696,NE
4,5876.900287371681,5512.084262762198,2518.982231224398,11238.242293451069,NE
1,2122.458427628273,1713.0727702559689,611.3953918581878,6053.482218230724,NH
2,9066.45641412464,8728.577096583782,5330.795179267318,14751.921902546608,NH
3,23791.528249017014,23498.364372381093,15637.358885533271,33552.692354441344,NH
4,8867.67225768818,8368.135126928479,3861.7822392490216,16399.174643327628,NH
1,10521.310333166975,9144.17290246889,3942.629051995636,25180.373754735872,NJ
2,54524.13362384806,53439.67609665084,36330.41219596553,78753.20078474924,NJ
3,123929.05668561075,122654.93964165665,89430.69715913088,165763.5535163675,NJ
4,36358.88590999112,34964.54078893866,20886.369482094957,59822.467728695185,NJ
1,5334.5290029679745,4769.258956339008,1697.3611425486129,12051.314307334898,NM
2,10967.588980837543,10567.875173908309,5675.344518001605,18554.01001321105,NM
3,31988.943734619315,31286.81025715894,19182.39412126734,48924.447431653076,NM
4,9250.460446210573,8793.012486913587,4238.267412688879,16846.096277906683,NM
1,5161.501415389477,4820.7575516895195,2284.6565809304448,9978.269368917661,NV
2,21566.697148961088,21152.946753965793,13698.597692080813,31812.53866671502,NV
3,42365.60819377399,41943.298317299515,29973.30104859725,57306.636605941305,NV
4,10738.217738787811,10411.524558086465,6143.631604037481,17194.659482999923,NV
1,35025.59425983913,33086.88376254079,16633.176393138816,64518.63747646166,NY
2,129032.5363363647,127201.44862425685,90308.97305833575,177672.65339232748,NY
3,279136.99236614583,277079.4503334722,210821.16118862183,359170.72839721927,NY
4,130025.54764274288,127936.72030937675,84445.62692998978,187682.18022985343,NY
1,16561.113723287002,14814.64698613049,6813.158404521622,36325.21155425225,OH
2,79421.63207982368,78313.88122688688,55334.126523786974,109618.23573346266,OH
3,147238.14947487382,146076.71432281667,109554.72744005933,191288.31338244377,OH
4,42759.14672827103,41545.12603036419,26357.361401545837,65769.92531755322,OH
1,7885.901331909219,6642.277663870434,2488.383286004398,20127.770925090408,OK
2,25259.325229248225,24585.245227459673,16035.704954002973,38220.591082239385,OK
3,48415.40128418891,47888.749291547356,33403.41794423827,66119.99160237865,OK
4,14333.736283481705,13523.990682494892,7439.359084662042,25697.593637949496,OK
1,7232.938704579983,6441.536767210426,2902.148687527606,16070.549394965934,OR
2,24106.292517396938,23641.017305194655,16253.198676033287,34538.916543102896,OR
3,77353.4036065829,76888.77123936528,58993.01396676259,98280.3310380247,OR
4,22315.38092643131,21749.79309992587,13912.947282068755,33809.462564988105,OR
1,16737.88839956412,15397.753025695947,7447.979410809342,33645.8182758683,PA
2,90765.29190693903,89719.70432999008,64589.1191670515,122695.28587638756,PA
3,159961.267395604,158639.32041317178,120253.35282950668,206999.37182752776,PA
4,50931.6619809684,49885.45230854218,32609.62614240329,75063.75391014855,PA
1,1351.3294079423645,1238.8765816109753,525.9894321303684,2825.575198791922,RI
2,7838.664794952532,7705.094592891801,5173.180418015758,11240.910999816859,RI
3,15115.327966896444,14974.436299627536,10929.769372526911,20105.473457815267,RI
4,4983.763473446657,4854.314973069767,2897.34600471891,7819.933200444537,RI
1,8522.792054881076,7770.087171062163,3115.82074211859,18082.72680198087,SC
2,24817.206464785148,24022.01598956455,14286.694316186578,39789.69353148212,SC
3,64243.18539569341,62755.93664257331,41059.595433213966,96117.14871010484,SC
4,14323.720106751898,13647.204283697392,7034.484724333863,25444.82587413797,SC
1,1138.0382692314913,888.2608222986537,248.48433099546187,3448.0837399522693,SD
2,3646.380029141377,3454.746302556031,1685.9560457693833,6680.929328195073,SD
3,9576.528241551252,9437.52405975103,5501.042860079873,14481.041068116569,SD
