age,mean,median,q025,q975,state
4,9461.986912505014,9252.078793506478,5826.4528367389685,14338.545970658213,CO
5,21355.451623215286,21140.05529220497,14862.53726070392,29171.090080086735,CO
1,0.0,0.0,0.0,0.0,CT
2,0.0,0.0,0.0,0.0,CT
3,0.0,0.0,0.0,0.0,CT
4,0.0,0.0,0.0,0.0,CT
5,0.0,0.0,0.0,0.0,CT
1,1436.6231741909094,1294.9979292155726,486.83767068662445,3190.3841038967175,DC
2,9155.93131635133,8955.762431856798,5343.627029564294,14061.437758943377,DC
3,3321.409028024984,3132.639485114093,1438.4725391137968,6284.496393747985,DC
4,2153.908451593101,2016.177571195083,930.7533094257116,4145.5212804692455,DC
5,5891.346462599038,5691.453569917163,3056.7534293977374,9849.37621340735,DC
1,3105.0449204469405,2834.5698230158096,1417.7016337320433,6464.140844475898,DE
2,4778.518570994687,4293.855992938385,2057.901540523106,10060.672444925855,DE
3,5077.807059418123,4750.17844407059,2371.0114237955727,9583.017783584522,DE
4,1602.1231525328951,1525.1187517361732,785.8533408286814,2864.5824985152344,DE
5,10018.800059112786,9845.31757770682,5166.515923046523,15938.312713729163,DE
1,43693.82014577894,42442.63493857096,25281.89954761758,69070.87105488016,FL
2,77745.11084451493,76750.12130319516,53579.772145265175,107539.3262887666,FL
3,54180.66370095308,53342.9703119255,36310.047094838505,76648.84146113339,FL
4,47514.20198809776,46452.71117483376,29413.25230224154,71685.96084350749,FL
5,115284.7583085366,114053.27887241187,83119.97934600795,154704.42567244417,FL
1,23704.855973376118,23034.04504178457,13416.627961580221,37683.53558392957,GA
2,33460.21745540486,32893.403655442045,22107.56196921573,48161.893148687144,GA
3,27437.029601158778,26963.645364532596,17600.252699899993,39968.362197903865,GA
4,19145.58443448537,18554.839849705902,11061.080008670304,30663.199338302486,GA
5,36159.46793520101,35754.47752134505,25004.16928405003,49621.515994658126,GA
1,2895.539809845106,2654.325895375877,1029.366097521541,6106.343862013241,HI
2,5293.750658298805,5061.798088443036,2591.9001972487513,9294.269439176627,HI
3,4353.549183249006,4180.618192735863,2144.274449118123,7509.840498656644,HI
4,2286.342492237408,2121.9666118147334,933.0467105446866,4590.973197448772,HI
5,7378.281717714596,7184.700161546336,4018.573534327308,11808.414193240045,HI
1,5308.424805532127,4904.864104965007,1973.9794072320421,10908.038755122858,IA
2,8307.002136165785,7880.754128340626,3903.2864549113515,15014.555950980384,IA
3,7448.410314196483,7145.011733142233,3570.451494402056,13004.979071751988,IA
4,3163.967859850212,2936.693948262415,1297.0398003420041,6341.749651801805,IA
5,11663.274961789333,11406.578916618568,6161.072730205248,18568.760745823387,IA
1,2600.9573233673937,2407.1121457310974,954.5786600131712,5327.542660984365,ID
2,4356.078211872379,4177.224442191484,2135.858261983407,7585.796365627305,ID
3,3589.9838339722032,3454.9017192616775,1792.4110556844241,6136.211655800995,ID
4,1922.1904208927128,1785.0562504694662,789.0355074921603,3839.8059164191036,ID
5,5530.290953713506,5382.61479761108,3012.0470228763616,8861.136355922272,ID
1,20449.056607775925,19944.22618383738,12099.866041127312,31695.28327208822,IL
2,40458.96045992269,39878.56353162498,26915.71858021402,57132.82593193424,IL
3,27447.22517012842,26988.60138182335,17762.92748908892,39737.5018382932,IL
4,18921.960704169967,18468.031554827983,11509.424483638708,28905.674288868402,IL
5,49425.96110427429,48880.061872202015,34587.49755296026,67203.51921038229,IL
1,12912.201519470696,12464.281356915837,7221.021881133374,21072.38272591959,IN
2,19124.844959944672,18644.74917236829,12267.578024945418,28576.187668266553,IN
3,15584.51306431459,15251.169277118284,9754.497789282652,23345.417423047493,IN
4,9316.800388359388,9063.388230939163,5562.183511006597,14529.510327919823,IN
5,23909.694043660566,23616.303775036067,16101.372751624256,33366.970188829764,IN
1,5437.401538496487,5206.828184571645,2829.795810498636,9310.119683831786,KS
2,6829.31670859024,6580.82503836435,3853.804353661286,11170.566432489883,KS
3,6429.766099006874,6261.219229586866,3753.8919493051485,10068.012501037634,KS
4,3237.587844643891,3128.971334240794,1769.537177646014,5332.20627049293,KS
