income,mean,median,q025,q975,state
2,21938.234114608582,21286.748289254727,11758.933659260885,35744.34239537469,IL
3,57380.87662204366,56836.26226915277,40280.668605387684,77700.62631517414,IL
4,57403.81045141186,56739.73856411255,38532.620268472296,79913.58505331105,IL
1,12086.470708803346,11713.345136682132,6978.532217774207,19303.82539340904,IN
2,13683.13197917722,13220.223297709765,7277.816587325937,22614.40826622617,IN
3,31431.535247967782,31104.76281426686,21967.762459043275,42693.574686618034,IN
4,23646.91603980156,23199.536078468584,14785.020669697451,34985.600149745835,IN
1,4491.782212430733,4309.022934596188,2337.8800513854217,7663.461664832229,KS
2,5112.223524739434,4875.486398261208,2347.0036682813693,9151.490834651444,KS
3,11317.472215862641,11150.462690578113,7195.131400901609,16346.801922123264,KS
4,9770.175075014335,9530.886516382176,5801.431505825207,15015.696194098195,KS
1,9431.782344285173,9068.890653728897,5314.2819464562435,15638.864251501795,KY
2,12347.388858059132,11737.658476530658,5604.401014604747,22312.105069082463,KY
3,22494.62491381349,22080.237910800446,14503.618105871126,32652.28322398505,KY
4,15759.505972866096,15004.942584420822,8836.278836051884,26538.049242057798,KY
1,15296.036196526225,14601.434170412751,7356.757422496343,27255.95677206604,LA
2,8697.240341098048,8314.528154062367,3832.8390867190524,15766.964092003629,LA
3,15314.323394353187,14778.313493999864,8283.538070772245,25409.175229445744,LA
4,10982.439940383048,10424.127850035567,4817.415747016145,20348.413605090875,LA
1,16106.448080107702,15443.889713001157,8817.792608400647,27093.6039991473,MA
2,10952.846214543975,10328.137477061937,5526.499226646164,20025.975489785564,MA
3,31457.250250458175,30881.209383293266,20596.78133475883,45598.12468366319,MA
4,50679.26058854974,50129.21410918282,34309.36543292302,70172.1637079963,MA
1,7956.0768170067195,7410.8111385631055,3951.2189236458457,15208.644198240123,MD
2,8231.345749587023,7686.952761293892,3905.441456424863,15678.718145516985,MD
3,25722.446052911397,25146.725994572847,16147.635484545692,38530.11013082299,MD
4,38676.97065778759,38168.084088728036,24846.022237327747,55446.72676125919,MD
1,3777.101110506281,3568.4515220152743,1701.1401508619813,7050.0126051825755,ME
2,4458.149071557765,4160.146762698143,1622.0802638651744,8876.024622011508,ME
3,8657.598601700822,8435.574019752297,4575.736703008009,13957.752983508113,ME
4,7293.830517738172,6967.202485394399,3155.2223835515156,13163.413423260346,ME
1,17601.238709926372,17120.397505182576,10433.930634911387,27453.55817753643,MI
2,18981.905366254472,18411.386477846307,10299.217443400985,30755.371562115666,MI
3,44909.0890000881,44524.78097099053,31893.242968601673,60035.528507632596,MI
4,36529.078582339105,36008.81445570271,23747.806319184245,52248.68402309647,MI
1,6582.210342673583,6394.095961758401,3830.6723044856067,10403.672257083072,MN
2,9345.896738348114,8941.237121786027,4653.010679672243,16219.642754010954,MN
3,26384.049437669324,26136.73420350415,18188.927556263552,36067.28573005733,MN
4,28451.94792142562,28165.6689569784,19052.988635984944,39567.887610044956,MN
1,10545.815828188775,10248.757947976264,6271.275285938594,16467.25768753925,MO
2,14166.255325449942,13651.471805642377,7229.558651265508,23891.990219946092,MO
3,30363.69829183794,30049.127971343645,21065.169165790987,41396.02643421669,MO
4,23140.767778327532,22638.952228995928,14399.228096519759,34636.03462711306,MO
1,5475.446770489673,5208.888085178287,2755.143052675181,9718.716444492818,MS
2,7262.041350598161,6833.637413999602,2699.5299028154304,14086.411208652564,MS
3,10638.882602026986,10321.8197368269,5711.926908543801,17262.474391079373,MS
4,7007.057876487352,6404.999185854252,2835.1043248740816,14176.389605352708,MS
1,1768.819622573809,1670.1556214614643,803.8591466811496,3292.989073487149,MT
2,2439.58518988014,2260.0657960076633,853.6300186661415,4972.837718419859,MT
3,4484.198488473242,4362.643280059572,2322.721253104337,7295.460480218909,MT
4,3338.185029151263,3134.1049591037345,1308.282406816896,6404.2919390074585,MT
1,20993.606095351377,20193.398077121357,11519.403596505092,34962.596050315115,NC
2,21357.35368043912,20572.322724962207,10787.7984956858,36079.02914493034,NC
3,45505.47043935631,44821.734133878155,30757.320662256167,63912.48309833477,NC
4,35298.57403599,34467.66229983521,21763.145605848036,53483.64051310199,NC
1,1701.1174291172126,1595.0895490244857,743.0641398310331,3267.2862162854235,ND
2,1441.4301359173435,1352.413203069514,570.1869377551499,2799.902008603183,ND
3,3265.824157592469,3161.636166842669,1738.543585873819,5359.317037427686,ND
4,2773.3622610598395,2671.130526496885,1227.3350961627634,4925.7810999842295,ND
1,3550.8264248021883,3356.8612611587523,1593.7736163498441,6653.145006183441,NE
2,3438.711899776463,3233.034188518991,1331.3424904256049,6664.596126814335,NE
3,7564.675355273316,7380.821195626095,4127.200264180589,12063.00571879002,NE
4,6227.90850988096,5992.077360637166,2799.3195652778886,10987.414228540056,NE
1,1980.9918206745485,1879.8165795949644,969.4096936778083,3567.8984580282345,NH
2,3089.8104669422532,2814.4335548014924,1160.6004386388515,6492.974373712369,NH
3,7344.492986935153,7160.799150089426,4210.096005378721,11449.028343150963,NH
4,9632.528941353998,9453.524179537857,5516.40900768399,14711.85915743025,NH
1,12858.230009520898,12129.65607746998,6652.317652909524,23304.532892084,NJ
2,11594.596450114937,10770.040631070857,5308.014611850327,22605.87749232163,NJ
3,35272.65410588036,34532.02224866219,22456.09397744292,52214.4744766566,NJ
4,53453.407181499126,52800.54974275139,35017.741554844215,75700.90349919365,NJ
1,7338.879112056487,6992.181209212729,3475.956088463349,13221.904273337397,NM
2,5180.258010345505,4940.483416747949,2173.9201565813273,9536.145426780782,NM
3,9625.697121733641,9343.381157230331,5271.134576970357,15599.579339581423,NM
4,6906.775102293551,6605.267852263016,3030.1416108366043,12539.993921085672,NM
1,5339.279465168044,5136.372794285504,2837.436575409105,9009.146914153558,NV
2,5946.908702668765,5666.980951818992,2863.1890199791756,10659.474583571322,NV
3,16634.275342280944,16378.139717039026,10781.724320101779,23893.558994871484,NV
4,12303.116682781818,11991.657143869397,7041.826493014105,19216.791188715044,NV
1,42572.722756464536,41334.31957574333,24611.748348659796,67660.53560878942,NY
2,37709.20580629652,36413.433259809244,20231.731937649354,62574.47023951422,NY
3,96844.72563571064,95626.80293460231,66609.10749543614,134038.1716102059,NY
4,111412.58544168543,110105.96210065582,75855.8639774525,154622.64184767412,NY
1,22835.771837726632,22218.259104237102,13576.356723640654,35557.05737108402,OH
2,23882.486975328342,23150.78392727122,12941.573745162023,38807.67621729432,OH
3,55091.85149913747,54558.10470420707,38994.90375168903,74051.12472904648,OH
4,42163.05344856328,41457.38796434542,26924.88663718067,61438.28734931235,OH
1,5248.785486116531,5032.978029572019,2887.7865378450288,8870.910865927573,OK
2,10039.65168275849,9588.578383552824,4559.347420883448,17911.509990082308,OK
3,19578.66894903111,19299.366960554795,12967.68048676031,27825.543417901303,OK
4,13312.980664619965,12775.225698443744,7344.099342380661,22074.16198647427,OK
1,8673.813563869198,8423.391044939495,5072.889094531688,13651.182121465661,OR
2,9330.790719091561,8992.85009432452,4881.564154730376,15592.781508703603,OR
3,24057.61163434512,23831.024803141867,16892.763048618606,32544.979602782376,OR
4,23865.731198299727,23595.15745470912,16049.952020292469,33279.69994276958,OR
1,24436.980778908965,23762.946745948888,14454.526757413807,38221.23192784442,PA
2,24014.119657003255,23388.347313196227,13374.991423765981,38107.16035200157,PA
3,58074.43500161083,57520.25520130403,41279.150159335135,77957.34848299473,PA
4,53749.91123490922,53144.35062896224,36220.3248628147,74982.42354320541,PA
1,1827.4814822438059,1746.2132703516554,875.4924145520895,3244.757587094154,RI
2,1699.2607582917947,1611.6656385487836,766.2691028405171,3115.3080903274304,RI
3,5454.32872723698,5372.705319253675,3548.7158659393945,7821.145881971761,RI
4,5746.039583287266,5658.470443900608,3635.1828717005733,8370.521591434732,RI
1,13179.315902480008,12530.353397736442,6371.732464539853,23701.974195713723,SC
2,9395.240368219713,9011.663036126361,4432.98876520131,16579.944073898376,SC
3,19714.598889234785,19150.270009882424,11639.629574473216,31051.908392313417,SC
4,14208.877532630677,13620.93990425387,7296.073963208367,24473.821170786854,SC
1,1086.8511440978166,1022.7853481527691,483.51705151584116,2054.5536391258356,SD
2,1642.4439594692928,1512.4671324272206,562.1512907289413,3416.8925048783663,SD
3,3223.359904613507,3133.070084409662,1658.876088274545,5265.182020956198,SD
4,2492.1338722746423,2348.004129065231,972.2539563109588,4742.563790461269,SD
1,12480.096093955073,12102.683348205815,7304.053890410883,19766.308623641027,TN
2,14499.192964772341,13977.62466310858,7432.041613961772,24366.901908951884,TN
3,31505.757968056227,31164.723278844864,21905.760387614882,42963.186909034725,TN
4,22507.885388700375,21955.79037779577,14115.346580005857,33942.96557323166,TN
1,44289.158624779484,43191.499382041584,26533.423341714126,68203.38725639522,TX
2,46347.764208691166,44971.700278201664,25560.781364195485,74590.83641638703,TX
3,124729.08569606625,123459.05812183199,87760.5556155741,168839.71062613188,TX
4,109208.39121427509,107764.80368470663,72397.37381666784,154189.4363389358,TX
1,3517.8030617693507,3369.366391999928,1854.9224817644365,6023.3152038242915,UT
2,3775.118552346688,3633.7116195986387,1914.1847045942513,6431.011865272032,UT
3,12916.114801258538,12741.056604464913,8626.789273283477,18194.857056138295,UT
4,12675.453961990626,12490.674430602368,8008.082612333657,18455.87881999995,UT
1,12547.18209582114,11954.888438315218,6805.5054030258625,21648.120921228103,VA
2,14380.149915675833,13776.195483582102,7276.99975281991,24941.654875946697,VA
3,38742.01871460991,38119.47478172864,25815.41184346027,55135.241160681995,VA
4,52320.24585457225,51726.89645862447,34961.29162487554,73165.44424206506,VA
1,1323.5627912213786,1228.8818156749846,558.8318273146864,2644.138952386695,VT
2,2590.617446085072,2293.894212440151,680.4850809518013,6043.169134520101,VT
3,4672.703218269864,4482.497424045224,1993.957896823241,8387.845494770074,VT
4,4716.186249367986,4438.120511449431,1622.786428963391,9157.387289449953,VT
1,13144.57012922703,12754.917497410675,7581.988711672111,20927.009286178247,WA
2,12564.650620925691,12184.271707979977,6849.737792458359,20324.029906902764,WA
3,38855.69998539509,38480.515033411146,27277.562596285934,52692.94589634015,WA
4,49063.261402554104,48721.59615258817,34580.00654207918,65587.24284115517,WA
1,9569.152661860744,9157.391595458463,5159.914865392968,16282.675328547975,WI
2,10545.280948375703,10073.520777764523,5261.627999887682,18397.042449049666,WI
3,25734.533869246963,25351.029791804154,16977.296041507372,36732.50953385805,WI
4,21308.815117647715,20817.076512487307,12659.693263158562,32723.259357298975,WI
1,4739.7299277320935,4532.165751093227,2330.605251713201,8351.716839119608,WV
2,4620.325187463913,4382.606143835292,1809.6034633613685,8733.85535338005,WV
3,7595.945531597744,7399.684428339207,4141.617356128199,12112.772685284177,WV
4,4906.976322893108,4596.016793290388,2060.1643025144435,9383.225900033409,WV
1,750.5561983696425,694.5459303107625,311.17831077072475,1527.2762108869383,WY
2,1448.285846154188,1286.0936674292368,398.66846865735806,3357.42322908502,WY
3,2576.123089146233,2458.6377555952954,1099.8370217551067,4695.066964808995,WY
4,2499.6533758434443,2347.8310419016116,783.7572552708518,4994.272097465968,WY
