mean,median,2.5%,97.5%
,,,
33.83245964744843,33.37650141412483,24.02377459121452,46.09419833659114
,,,
,,,
,,,
2751.380735510266,2639.077720494054,1520.4940059586136,4620.859186125064
2826.6417928278256,2724.805731368928,1601.5721545199594,4634.206341131614
,,,
,,,
,,,
,,,
103868.80136389604,102742.29796772059,76157.5228295484,137892.41774330018
4222.38401197351,4066.4985916342393,2390.762634668142,6937.673714554602
,,,
25179.705110904182,24897.499426896436,18360.173164278887,33635.38023419645
9267.618082647368,9091.165545141821,6266.458264305694,13280.261061666344
,,,
5059.706996938727,4876.590260629704,2869.8576922012826,8274.502761710042
3117.521444606278,3012.771505949044,1805.7565919748497,5030.82911989024
475.1605903539761,434.9580890880668,260.86842708339225,926.2276340053864
