ethn,mean,median,q025,q975,state
1,5669.650116187461,5515.41912999063,3397.660087361061,8770.295507100891,MI
2,112351.66154242058,111748.94000557049,93214.4619869291,134969.35143024256,MI
1,4849.591057610868,4699.5687379331375,2792.804898108673,7750.228074500955,MN
2,65914.51338250577,65665.86791633151,55461.639475047465,77684.72384736559,MN
1,3584.5554428731502,3485.4616373506487,2141.422649245866,5570.505017453063,MO
2,74631.98178093103,74324.67263563962,62382.19577293388,88625.84202314739,MO
1,339.74503285093164,314.49386815574985,164.92993133609383,661.6255607859044,MS
2,30043.683566751242,29779.35256489955,23473.93803166555,38073.03893685313,MS
1,105.63115232360849,90.93448328924482,36.87345911543196,262.0090184867183,MT
2,11925.157177754845,11768.932625960231,8873.526171181045,15821.656857458047,MT
1,8980.692133933484,8760.46645453194,5543.624970466285,13623.553839444709,NC
2,114174.31211720333,113013.91942594282,90954.87728981246,143968.36972677114,NC
1,87.011930915634,74.0437714033175,28.946108417201323,221.4082178124302,ND
2,9094.72205277123,8886.476275758292,6241.218052242978,13110.264514029343,ND
1,648.6877526192014,566.8239682630949,232.88021231199662,1543.8275317691355,NE
2,20133.434437113727,19777.994940625947,14495.913711697573,27670.155345954645,NE
1,405.701617216541,379.3469508619936,192.05328291914464,766.6665898399322,NH
2,21642.122598689413,21494.084519307813,17207.898535418357,26914.022808906866,NH
1,25210.844315098206,24526.898478362014,15598.469961658027,38583.824975962314,NJ
2,87968.04343191713,87271.49848351383,66853.5458111072,113071.05671969276,NJ
1,4928.365758110509,4515.38928906625,1934.2840929480808,10273.103674175685,NM
2,24123.243588318677,23633.477174374086,16497.710381297937,34482.59764797695,NM
1,13024.279261244867,12784.221336944618,7841.37384550896,19559.653756576587,NV
2,27199.300827984065,26943.72746245737,19895.500834289734,35947.20732378314,NV
1,65393.83804429014,64225.094666588,41395.73608982047,95834.70136225992,NY
2,223145.401595867,221942.82064166848,180365.5562871585,272746.8416588426,NY
1,6417.597791631919,6215.111462713603,3736.3794837459577,10196.06544607717,OH
2,137555.5659691238,136778.42147626882,113924.34024698332,165672.39509160275,OH
1,5856.343556390545,5714.290240263719,3500.992466255464,8991.571606774307,OK
2,42323.74322613555,42150.00648687012,35120.54299446297,50489.656549491854,OK
1,7300.255520743672,7137.588524279461,4555.025887429432,10902.613101155084,OR
2,58627.691594861935,58319.39277681647,48218.90109548033,70680.04141739526,OR
1,10312.228903211502,10064.537524939733,6304.108797421621,15681.028925768529,PA
2,149963.21776922076,149002.73772785236,123230.55402007783,182215.3586199949,PA
1,3448.8191944074274,3370.2018852858746,2030.1163957805343,5306.007579570863,RI
2,11278.29135665242,11196.694626069771,8597.650414552689,14446.057488684748,RI
1,1390.530454890642,1237.7892687943731,566.0569812282304,3103.629449959736,SC
2,55107.50223767454,53985.769908443,38709.63732534635,77625.29128591457,SC
1,76.4150674307944,66.05578274732393,27.811466197991773,186.37952544728557,SD
2,8368.373813024464,8265.241009416382,6238.637690399663,11077.805901081645,SD
1,5516.313324687449,5377.673017476078,3310.258828674247,8498.121779440291,TN
2,75476.61909079656,75014.23673097254,62127.32730249248,91514.17707234318,TN
1,120655.80976438435,119365.69558247001,85034.52360568562,163008.6203766134,TX
2,203918.58090239274,202691.26289581318,162136.3067528944,252838.299805292,TX
1,5081.512391997885,4955.264451902599,2931.618516222358,7960.280080254433,UT
2,27802.977985367317,27510.01722215397,21340.232856347462,35941.172124622906,UT
1,12038.214996752302,11431.543369863113,6084.00045501228,21377.79425514039,VA
2,105951.38158392684,105302.90620599026,84967.04531412391,130683.3092461019,VA
1,45.9295043615572,41.114351516558855,20.862233318256024,99.6914481149056,VT
2,13257.140200582746,13131.740172354206,10062.691802426221,17159.537988143384,VT
1,12828.22747272238,12537.010057248965,7906.6945004045565,19323.171611866645,WA
2,100799.95466537954,100272.9314929778,82885.66492792898,121581.72757481608,WA
1,3809.8720619758974,3714.3960138219745,2286.3150537583933,5863.320367452935,WI
2,63347.91053515523,62635.359411721496,49902.14399161629,80829.96044512697,WI
1,145.26799025855,131.8780490861913,64.25246175791708,305.1194324575705,WV
2,21717.70897942831,21414.096729106517,16091.600152565687,29009.444676077546,WV
1,127.41904058211719,113.07750502984592,54.592589357888905,285.093224909653,WY
2,7147.19946893139,7048.838111272588,5248.902062231311,9570.84189021915,WY
